,dialogue_id,Q-3,Q-2,Q-1,A
1630888,MDRW2100033874.1,닥 산적 아맞다 기독교시라 맞아요 음식엔 죄가 없어요 홀리..아멘..,아멘.... ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아놔 님 그러면 명절음식 떡국 VS 송편 산적 맛있죠... 념의.,ㅇㄴ 떡국 국물 여미..,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ맛 잘 알 ^^! 님 비오는데 전 드실건가요?
1774305,MDRW2100044491.1,최근엔 걸작떡볶이에서 먹었어요 여긴 치킨하고 같이 배달이요 ㅋ,걸작 떡볶이도 들어봤는데 안시켜봤어요 와 치킨도 맛 괭찮나요?!,엄청은 아닌데 먹을만해요 ㅋ 소스도 여러개있어서 ㅋㅋ 취향대로 ㅋㅋ,ㅋㅋㅋㅋ 소스가 여러개면 더 좋겠네요~!
1109800,MDRW2100001624.1,아ㅜㅜㅜㅜㅋㅋ어디로가시나,공부한데 ㅋㅋㅋ,아. 무슨공부?ㅋㅋ,만나면 물어봐야지 ㅋㅋ
1015660,MDRW2100001576.1,너 미팅전부터 술먹었지??ㅋ,아닌데 ㅎㅎㅎㅎ 공부 모기 강호동,10시에 마치장~~~,ㅇㅇ 안와? 안오냐고 지켜보고있어 이제 나오는군 ㅎㅎㅎ 나가겠어
1887174,MDRW2100047045.1,은 아니구나 ㅋㅋ,일이나 열심히 해야지 쁘걸 응원이나 열심히 해,ㅋㅋ 역시 쁘걸 스밍이나 하러 가야지,오늘 장민호 신곡 나옴
44753,Chat426,남친이 좋아해.,그럼 너두 보겠네?,응. 가끔 야구장 가곤해.,스트레스 풀리겠다.
329131,HuLiC6821,주로 발라드 위주로 불러~,당신이 가장 좋아하는 노래는 무엇입니까? 당신은 좋아하는 가수가 있습니까?,김광석이란 가수를 좋아하고 그 가수의 서른즈음에라는 곡을 좋아해,저는 그 노래를 몰라요. 무슨일인데요?
661903,MDRW2100000063.131,아덜램~ 어케됐어~~ 흥 부러워라 흥칫뿡야 흥칫뿡야 나 완전 삐졌는데..,꼴받아... 냠냐미~,베이비야 잘가렴..,베이비... 나 완전 삐졌는데~ 흥칫뿡야 어쩌구 푸항
914263,MDRW2100001516.1,오잉 ㅋㅋㅋ,나는 name8 이불 털고 놀아주고 2층 환기하고,사진 ! 누가 안 찍어주나,으응.. 누가 없어 다음엔 name6이를 보내서 찍사를 시켜
583547,감성대화말뭉치.3587,내 용돈을 모아서 산 게임기를 누나가 마음대로 버렸는데 무서워서 말도 못 하고 있어 힘들어.,누나가 게임기를 버렸는데 말을 못 하고 있어 힘드시군요.,비싼 게임기를 돈 모아서 샀는데 말도 없이 버려서 속상해.,이 상황에서 도움을 받을 수 있는 사람이 있을까요?
1048312,MDRW2100001593.1,ㅋㅋㅋㅋㅋㅋㅋㅋ 저스 디스 아 저거 고민중인데 아무래도 사치 한달에 이모티콘 1.5개씩 구매 가능;;,ㄹㅇ 사치야 오바야 그냥 구매하는게 낫지 .. 구매 는 영구소장 사면 영원 안사면 0원,와 찢었다,ㅋㅋㅋㅋㅌㅋㅌㅋㅋㅋㅋㅋ 쇼미왓츄갓
