,dialogue_id,Q-3,Q-2,Q-1,A
517168,감성대화말뭉치.22863,,선생님이 자꾸 자격증 따라고 해서 귀찮아 죽겠어.,선생님이 자격증 따라고 해서 많이 귀찮으셨군요.,나중에 해도 될 텐데 선생님은 지금 따 두라고 하셔.
1899937,MDRW2100047054.1,ㅋㅋㅋㅋㅋ 그샌프란시스코 갓을때 너 사진 디게 잘나옴,마자 name3가 또 잘찍어줬어 나도 그렇게 나올줄몰랐는데 나중에 해외여행가면 어디로 가고싶음??,나는 안가본곳이 미국이라 꼭가보고픔,그때 같이 갔으면
190972,HuLiC3632,아니 요새는 코로나 때문에 성대한 결혼식을 치루기 힘들어,그럴 것 같아요. 그래도 결국에는 그럴만한 가치가 있었겠죠.,맞아 결혼식을 하는 것 만으로도 의미가 있을거라고 생각해,저도 그렇게 생각해요. 만약 내가 그 많은 돈을 지불해야 한다면 나는 성대한 결혼식을 올릴 수 없을 것 같아요.
17744,Chat13420,정치인들은 왜 당선되려 안달일까?,아마도 막강한 권력 때문일꺼야.,그러니까 당선 전과 후가 그렇게 다르지.,보상심리 때문이겠지?
1707939,MDRW2100039656.1,전주도 없잖아요 ㅋㅋㅋㅋㅋㅋ 바로 노래시작! 감성이 없어요ㅜㅜ 가사도 무슨말인지 모르겠고,발음도 못 알아듣겠어요... 그래서 가사 찾아보면 이게 무슨 뜻이지 싶고 ㅋㅋㅋ,ㅜㅜ 그래서 더 예전노래를 듣게 되는것 같아요 name2님은 듣는노래 있으세오?,저는 채널 몇 개 추가해놓고 들어요 ㅋㅋㅋ 요즘은 우든체어라는 채널을 자주 듣네요
949396,MDRW2100001533.1,우우......... 이래선 나가지도 못하겟음...,낼 학교 가여되는데 음... 비대면 전환한다고 해도 조별과제 해야하는데..,우우.... 사실 나둬..,우우....
1755762,MDRW2100043118.1,응 내일2시에 주사맞으러 오라네,주사 맞기전에 고기좀 먹어,응 안그래도 오늘 왔던데 못챙겨놓고 왔지만,뭐샀어?? 소고기?? 난 돼지도 왔음
1045819,MDRW2100001592.1,으뱌뱌뱌뱌ㅑㅂ.0.! 꺄옭!,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅅㅍ 제가다민망합니다!!! 언늬우리서웅랜드갔을때얼마나놀앗즹?? 한6시간정두면 충분하게놀겟즹????,엉니 그정도면 매우 충분!!!!!!! 그러고 방 들어가서 쉬다가..!황리단..! 길로 가즈아아앍!,각이다!!!!! 그리고 느즈막히 눈떠질때일어나면댬!!!
398294,HuLiC8417,아직 안 정했징 ㅎ,ㅋㅋ같이 정해줘?,웅 ㅜㅜ 고마웤ㅋㅋㅋ,무슨 장르 보고싶은데?
1462522,MDRW2100022371.1,막 배추김치가 통째로 얼어있는데 넘 웃겨갖곸ㅋㅋ,통채로요?,그래서 웃었다고 등짝스매싱 맞았어요 ㅠㅠ,그정도면 무기인데 ㅋㅋㅋㅋ 저같아도 웃길거같아요
1567278,MDRW2100029501.1,식사는요?,빵먹었어요 식사하셨어요?,시리얼이오,점심드셨나요?
65119,Chat8187,그냥 싼 걸루 할 거야 넘 비싸면 못 사지.,그래도 코트면 기본 가격은 있잖아.,참아 보려고 했는데 집에 있는 코트가 너무 낡았어.,필요하면 좀 주더라도 사야지.
826561,MDRW2100001328.13,근데 나도,우우우웅ㅇ,영상통화가 좋아,우웅우웅ㅇ
567662,감성대화말뭉치.32745,민간요법이 회복에 도움이 되는지 몰라 걱정이시군요.,사실 믿음이 안 가. 친척이 의사도 아니고 그냥 일반인인데. 옛날부터 저런다니까.,친척 분이 알려준 민간요법이 믿음이 안 가시는군요.,전에도 친척 말 믿고 따라 했다가 시간이랑 돈만 허비했어. 그냥 빨리 병원에 가야겠어.
1403701,MDRW2100018265.1,커피 좋아하시면 카페투어 좋아하시겠네요,카페투어까진아닌데 커피자주 사먹긴해요 ㅎ어떤커피좋아하세요?,전 바닐라라떼요!! 얼죽아 파 이기도 합니다ㅎ,아 저도 근데 요새 당을 줄이려고주로 라떼마셔요! 당별로높지않은데 괜찮은커피는 스벅 바닐라크림 콜드브루아세요?그게괜찮더라구요
512202,감성대화말뭉치.21890,오늘 직장에 출근하는데 지각할 뻔 하셨군요. 조금 더 말해주시겠어요?,도로에서 차 사고가 났는지 교통이 마비되어서 당황했어.,출근 시간에 교통이 마비되어서 당황하셨군요.,그래서 다음부터는 여유를 두고 출근하려고.
1198825,﻿MDRW2100004085.1,,,네. 밥먹고 자다가 지금 일어났어요,뭐드셨어요? 전 곱창왔길래 그거랑 감자고로케 양이 진짜 적어요 곱창
1491086,MDRW2100024258.1,침고임,호불호 없음 드셔보세요!,아 그래요?,짭짤 바삭해서 술안주로 딱이에요
1462365,﻿MDRW2100022362.1,,,볶아서 먹으면 더 맛있을거 같기도하고,볶음밥 해드셔야죠 그쵸
976496,MDRW2100001543.1,ㄷㄷㄷㄷ,그때말했던 초침 움직이는시계,ㅇㅇ,아빠가 이거 꺼내서  버릴려다가 중나올렸는데  4만원에 거래
