,dialogue_id,Q-3,Q-2,Q-1,A
1898128,MDRW2100047053.1,name3이 요즘 힘들어서,근 1년중에 젤 재밌었다구,다시 모이기 힘들겄지?,그르게 이번달쯤 다시볼래나 싶었는데
186961,HuLiC354,그렇구나 말을 왜 키워보고 싶다는 생각이 든거야?,"말은 길들여진 첫 번째 종이었고 다양한 행동, 감각 능력, 그리고 신체적인 특성을 위해 수천 년에 걸쳐 선택적으로 사육되어 왔습니다.",너는 소동물보다 대동물에 더 관심이 있는 편이구나,다이도무스는 말의 멋진 이름입니다. 에쿠스 페루스의 아종입니다.
1062048,MDRW2100001597.1,여보는 생각나는 거 있ㅅ으면 말해용,응 밤 주니까 슈퍼잭 보고싶어 이런다,문장으로?,응
1511720,MDRW2100025669.1,우와 좋으셨겠어요:) 맛집들도 다녀오셨나요?,아니요 사람들이 많아서 그냥 벚꽃만 구경하고 왔어요 ㅎㅎ,잘하셨네요:) 당일치기로 다녀오신건가요?,네 아침에 일찍 출발했어요 그런데도 사람이 많더라고요
1167668,MDRW2100001920.1,네 일하다 보면 인류애가 사라져요 ㅎㅎ,맞아요.ㅎ 별별인류다보고나면 정떨어져요ㅜㅜ,근데 또 막상 다른 일을 하려고 하면 막막해요 ㅠㅠ,새로운일의 두려움이 있지요ㅜㅜ
699240,MDRW2100000120.13,모하세요 같이일하겠군 ?,네에 마마 밑으로 보낼예정입니다 마마,흥 헤어져 헤에져!,싫어유ㅠㅠ
1826962,MDRW2100046985.136,이해가 하나도 안 되더라,그니까,보고 나서 후기 찾아 봤는데도,응
1089005,MDRW2100001613.1,웅 틈,지금 나왔는데 할머니집에서,ㅋㅋ ㅋㅋ 웅,고구마 들고가래서
641908,MDRW2100000009.31,오늘은 물고기달리는날 저귀여운애기는 큰언니딸?,큰언니 응응 귀여운아기 추가요,ㅋㅋㅋㅋㅋㅋ,귀요미는 이제 다 컸 미디어 중독자인든
664463,MDRW2100000068.2,괴로운 출금 근,월요일아냐 오늘목요일ㅋ,그래도 괴로워요,ㅋㅋ힘내숑 나미팅다녀오께
545722,감성대화말뭉치.28458,예전부터 은퇴 후에 무엇을 하면 좋을지 리스트를 작성해왔거든.,리스트를 어떻게 실천하면 좋을까요?,최대한 빨리 이룰 수 있는 목록부터 차례대로 실천할 거야.,즐거운 취미 생활 되셨으면 좋겠네요.
110318,HuLiC1771,그럼 매일 집에만 있는거야? 일 안하면 뭐해?,"네, 저는 대부분의 시간을 집에 있어요. 저는 그저 아무것도 하고 싶은 의욕이 없어요.",너 엄청 무기력하네 친구들이랑 만나진 않아?,"그렇긴 한데, 집에 있는 거랑은 달라요. 그 사람들 없이 뭘 할 수 있을지 모르겠어요."
1441358,MDRW2100020864.1,하 그죠 ㅠㅠㅠㅠㅠ 너는 최애멤버가 누구에요!!! 아 뭐야이게 말투왜이래 나,ㅋㅋㅋㅋㅋ 괜차나여~ㅋㅋㅋㅋ 음 전 여자친구중에서 꼽자면 유주요!,음 본인의 최애는??!!ㅋㅋㅋㅋ,아 아무 연예인이요?? 음.. 저는 너무많은데 요새 세븐틴이요ㅋㅋㅋ
473884,감성대화말뭉치.14359,말을 거는데 무시할 수도 없어서 어떻게 해야 할지 고민 중이야.,이 상황에서 어떻게 하는 것이 좋은 방법일까요?,남자애들이 말을 걸면 대답은 해주긴 하겠지만 선을 긋는 게 가장 좋은 방법 같아.,선을 그으려고 하는 이유는 무엇인지 들어볼까요?
1573038,MDRW2100029908.1,그래요,아까 말씀하신 박완서 작가의 작품도 좋아해요,어머 정말요 반갑네요,한말씀만하소서 이런 제목이었던 거 같은데
69967,Chat9121,그럴땐 어떻게해?,인사는 하지.,당황스럽지 않나?,이미 끝난사인데 뭐어때.
1312610,MDRW2100011939.1,소극장은 대사도ㅜ많은 경우가ㅜ있는데 대극장은 노래 위주인것 같아요!,재밌게 본 뮤지컬이 있으신가요?,최근 대극장 뮤지컬은 비틀쥬스가 마지막인데 무대 디자인이랑 연출이 최고였어요,비틀쥬스는 어떤 내용인가요?
950279,MDRW2100001533.1,거기가 싸거덩 거의 반값이야 아랏어....,아하 멕시코 계정 그런거? 조타 그러먼 진짜 멕시코가 언제할지 어케알어,우.. 푹잣다.. 그 가격확잉더와주는 프로그램,오옹.... 얼리어답터 name1
1450538,﻿MDRW2100021543.1,,,최근에 구매한 물건 있으세요?,저는.. 최근에 뭘 샀냐면 먹을 것을 많이 샀어요!!! 그래놀라 후레이크를 샀답니다 name2은요???
755673,MDRW2100000678.1,핫딜하는거 찾아서 대량구매해요,그래야겠어요,냉동실이 꽉차는게 함정이에요,냉동고 하나 사고 싶어요ㅠ 저희도 냉동실이 꽉이라
240804,HuLiC4783,누군가에게 집을 지어 주는 것은 보람있는 일이지. 너도 너만의 집을 지어 보고 싶지 않니?,언젠가 내 집을 짓고 싶어요. 집을 지은 지 얼마나 됐어요?,집 짓는 건축소에서 일한 지는 10년이 넘었지. 넌 어떤 스타일의 집을 짓고 싶어?,숲 속에 오두막을 짓고 싶어요. 당신은 그런 것을 만들어 본 적이 있나요?
228988,HuLiC451,확실히 킥보드는 전동 자전거보다 훨씬 안전합니다.,아니야 운전자의 성향에따라 둘다 엄청 위험할 수있어,킥보드는 19세기 후반부터 존재했기 때문에 오래 전부터 존재해 왔습니다.,그러고보니 인터넷에서 봤는데 백여년전에도 킥보드가 있었다 하더라고
360576,HuLiC7547,로맨스 영화 많이 알려줘~ 달달한거,뷰티인사이드는 어때??,그건 봤어ㅋㅋ 재밌더라 한효주 예쁘고!~,이진욱 등장할때 영화관에서 사람들 다 헉 함ㅋㅋ
