,dialogue_id,Q-3,Q-2,Q-1,A
680616,MDRW2100000103.240,개인정 진ㅋ자 힘들엇어,신발 또 무슨일,노동이야 고기먹으려고,맞아 ㅋㅋㅋ 진짜 노동
1153999,MDRW2100001643.1,내일 얘기해도 아마 대답은 같긴 할거에요,하아...,내 아들이 갑자기 왜 이러냐 하시겠지..,아니면 내일은 그냥 쉬구요 주말 안으로 담판을 지을게요 아빠도 얘기해야하니까 과제도 하나도못했어 계속 생각하느라 주말안으로 얘기마무리할게요
1804345,MDRW2100046700.1,안녕하세요,안녕하세요~ 최근에 즐겨하시는 취미가 있으신가요?,요샌 딱히 코로나때문에 밖에 못 나가서 책 읽고 넷플릭스 봅니다,코로나가 전국민 취미 대통합을 이뤄냈네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 저도 넷플릭스 좋아합니다 ㅎ 책은 어떤 장르 좋아하세요?
621627,감성대화말뭉치.6524,,주위를 둘러보니 동기들이 대부분 권고사직이나 희망퇴직을 당했어. 나도 그럴까 봐 걱정돼.,나도 동기들처럼 퇴직을 권유당할까 봐 불안하시군요.,퇴직 이후를 준비해 둔 것도 없어서 몇 년은 더 다녀야 하는데.
682836,MDRW2100000103.394,문제 ㅠ,머릿결 구리더라고,그래도 해어팩 하면,흠 난 부시시한지 모르겟던데
15110,Chat12914,,영화 시사회 가본적 있어?,아니 난 한번도 못갔어.,그래 나도 못가봤는데.
806080,MDRW2100001268.30,아까도 키보드에 코피 엎어놓고 모른척 커피 지금 게임중이세요 오늘치 공부 끝났다고,고생하시네요,다 똑같죠,요새 다 힘드니 말이죠 코로나 때문에
1086946,MDRW2100001612.1,넹~~~ 나두 진짜 많이 사랑하구 집 도착해썽!! 옷 갈아입고 씻구올겡~,조아조앙~ 잘도착했구만!!! 개운하게 씻구와용 울 애기! 버스 내렸다앙~ 집도착이에용~ 엄마가 들어오자마자 케잌보더니 아주 깨가 쏟아진다 쏟아져~ 이랭 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그래서 울 애기가 잠옷도 사줬다구 자랑했더니 아주 좋아죽는다구 그런당 ㅎ.ㅎ 마쟝 name1 좋아서 죽기 일보직전이얌 엄마랑 아빠가 케잌 둘러싸구 진쨬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 엄마랑 아빠가 어쩜 이리 예쁘냐구 왜 더 좋아하는거징..?? 엄마가 사진찍어서 프사한댕 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아빠는 케잌 원래 안먹는데 이건 맛있다구 계속 먹는당 나두 먹었는데 맛있오!! 이제 샤워하구 올겡,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진쨩??ㅎㅎㅎㅎ 오빠 부모님이 좋아하시니깐 나도 기분 조앙ㅎㅎㅎㅎ 잘 씻구왕~️ 헐오빵 이 언니 name10오빠 여자친구지 내칭구랑 아는사이야.. 그 저번에 내가 한양대 춤추는 친구 있다고 했자나 근데 아는사이얔ㅋㅋㅋㅋㅋㅋ대박 역시 세상 좁군여..,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 다섯다리만 건너면 모든 사람이랑 연결되어있다는기 진짜구낭.. 쟈기쟈기 나두 다씻구와쒀!
728158,MDRW2100000231.2,니 백신은 언제맞냐,휴가 복귀하면 맞을거같은데,그러면,일정 어긋나면 못맞는거고
630841,감성대화말뭉치.8341,,요즘 자존감이 완전 바닥이야.,마음이 힘든 시기인가 봐요.,몸이 아프니 위축되고 움츠러들어.
534964,﻿감성대화말뭉치.26346,,,허벅지가 좋지 않아 예전만큼은 못하겠지만 아직 수영을 잘할 자신이 있어.,허벅지가 좋지 않지만 아직 웬만한 사람들보다 수영을 잘할 자신이 있으시군요.
1911873,MDRW2100047063.1,뭐삿어?,아직 안사졌어!!!,오 아무것도?,웅 넘 욕심부렸나 ...
1736715,MDRW2100041735.1,다른 데서 알아보고 수술할걸,근데 보험회사에 전화하니깐 만원인가 빼고 다 나온다고 했다더라구,나도 보험사 다시 전화해볼까,"그래서 신랑이 도수치료 좀 받아야되겠다곤 하더라구, 나는 도수치료는 당연히 다 나오는줄알았지 그래그래 다시 전화해봐, 그냥 도수치료 받아도 나오는데"
1374371,MDRW2100016180.1,다 자기군생활이 힘들죠ㅎㅎ,저는 작전병해서 간부들이랑 많이 있었어서 편하기도했고 힘들기도하도 했어요 ㅎ,오 지통실 많이가셨겠네요,네 지통실에서 근무했어요 ㅎ
1163427,MDRW2100001664.1,대만 과일 맛있다던데 ㅠㅠ 아쉬우셨겠어요 타이베이 검색해보니까 야시장이 유명한가 보네요!! 야시장 가보셨어요??,네 거기 맛있는거 엄청 많아요,오오오 어떤거 드셨어요?.?,저는 버블티랑 지파이 먹었어요
407567,HuLiC8631,진짜? 그냥그랬나보네 아니 못봤는데 친구가 노잼이래 평점은 괜찮던데,진짜 볼려고하면 보지머세요,어떤데 그래?,개노잼 다큐멘터리영화 2시간 아끼셨네요
1025940,MDRW2100001583.1,ㅋㅋㅋ,싸그리 다 잡아넣어야함,ㅋㅋㅋ,웃을일이 아님
1860849,MDRW2100047026.1,오 괜찮네~,두박스 사왔어,차돌박이구이했어?,"엄청 싼 거야, 질도 좋아 보여"
474395,감성대화말뭉치.14457,그건 아니고 갱년기라 그런 것 같아.,갱년기라 불편한 점이 있으신가요?,몸도 피곤하고 우울하지. 모든 일에 짜증이 나서 가족들한테 성질을 부릴 때가 많아.,몸도 마음도 많이 힘드시겠어요.
580806,감성대화말뭉치.35331,철수가 이번 공무원 시험에 떨어져 버렸으면 좋겠다.,철수에 대해 그렇게 악의적인 이유라도 있나요?,그 애는 떨어지고 나만 붙었으면 좋겠어. 철수는 평소에 날 무시하거든.,평소 친구의 행동가 화가 나서 그렇게 생각하셨군요.
1975792,MDRW2100047749.1,11시반 예약이양,그럼 머야,후욱후욱 혼자가야돼,쇄골 밑ㅁ꺼지 되나
