,dialogue_id,Q-3,Q-2,Q-1,A
424059,HuLiC9011,아 그때 출연했었구나~ 어디에 출연 했었지?,프랑스 혁명 시위에 참가하는 청년으로 출연했었어.,나 기억나려고 해~ 장발장이 총맞고 쓰러진 청년 이고 지고 구해줬잖아.,맞아! 그때 그 사람이야~
257592,HuLiC517,아~ 친구사이에서 연인이 된거야?,"네, 우리는 고등학교 때부터 친구였어요. 우리는 함께 많은 일을 겪었습니다.",고등학교 때부터 친구였다면 얼마나 알고 지낸거야? 정말 추억이 많겠다!!,저는 그를 안 지 5년 정도 되었습니다. 우리는 서로의 친구를 통해 만났어요.
1322109,MDRW2100012624.1,와 맞아요,아이구..ㅠ,엠씨더맥스 진짜 싫어해요,그런다고 돌아오나..
322891,HuLiC6678,취미는 휴대폰 게임하기야 너는?,저는 취미가 없어요. 취미가 뭐예요?,왜 취미가 없어?,저는 사실 취미 생활 할 시간이 없어요. 저는 대부분의 시간을 공부하는데 보냅니다.
396203,HuLiC837,저녁 뭐 먹지?,치킨 알프레도요 제가 가장 좋아하는 식사 중 하나입니다. 당신은요?,난 어떤걸 먹어야 할지 아직 고민중이야.,저는 치킨 알프레도를 좋아해요. 그것은 세계에서 가장 인기 있는 식사 중 하나입니다.
1251464,MDRW2100007611.1,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,78살이면 나랑 살날이 얼마 안남은거 아니에여?,네,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
696624,﻿MDRW2100000111.136,,,헐 ... 아 언니 제 일본 아는 언니가,응응 일본에?
1717999,MDRW2100040375.1,가게선 이미 삼십분전 픽업해 갔대요 근데 역시 라이더 연락처는 모름 ㅋ,진짜희한한구조ㅋㅋㄱㅋㅋ 삼십분전픽업해가셧음배달원어디가신거람,혹시나 해서 집앞보니 소리소문없이 두고 갔던데요 한 이십분 집앞서 방치된듯ㅎ,악..ㅋㄱㅋㄱㄱㅋ 방치하니생각나요 저배달시켜놓고잠들어서
1223788,MDRW2100005732.1,네 진짜 애들이 밖에 나갈때,학교 안가는 건 좋아해요? 비대면,스스로 마스크 챙겨서 쓰고 할때마다 미안하더라구요 올해부터 1.2학년은 전면 등교로 바껴서 계속 등교하고 있어요,아 그렇군요
68586,﻿Chat884,,,아침에 비가와서 조깅을 못했어.,매일 하나보구나.
766659,MDRW2100001095.40,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,근데 진짜 코인은 메타버스 타야할거같아 곧 대세가 되지 않겠누,그래서이번에 엑시 1000퍼 넘게올랐자나 3처넌했는데 한달만에 5마눤하누,엑시는 이제 계속 떨어질거같은데 ㅋㅋ 엑시는 답없고 다른곳에서 찾아야지
324365,HuLiC6711,"감기걸렸나봐, 코찔찔이 됐어",그 말을 들으니 유감이네요. 당신이 빨리 나아지길 바랍니다.,겨울이니까 빨리 안나을듯.. 계속이럴꺼같아 너는 괜찮아?,당신이 무슨 말씀을 하는지 잘 모르겠어요. 당신은 감기가 걸렸나요?
1043363,MDRW2100001592.1,설날이라는 변수...!,ㅋㅋㅋㅅㅂㅋㅋㅋ근데 21년에 수강신청 설날전에 끝내지 안흥ㄹ까?!? ㅇ잉! 내 바람이냥!!바람이냐고!,그렇겟징!?!?!?!?!?!?!?!,하.!!하잇!!
672582,﻿MDRW2100000090.40,,,너는남친이랑 노는데 남친친구가 같이 껴서 놀자고하면어떄?,난솔직히상관없는데 가끔그러면상관없지 자주면안되고
734816,MDRW2100000247.54,J랑 P의 가장 큰 차이,뭔데,J는 지구를 내핵까지 뚫고 들어가는 반면 P는,왜그런대
