,dialogue_id,Q-3,Q-2,Q-1,A
159287,HuLiC2901,"네, 격투 게임입니다. 실시간 전투를 기반으로 합니다.",격투게임이군요. 저는 어릴때 오락실에서 한 게임만 생각나네요.,아케이드 게임은 한 번도 안 해봤지만 격투 게임은 좋아해요.,크레이지 아케이드는 알아요! 대학생때 한창 유행했거든요.
925471,MDRW2100001523.1,ㅇㅇ 빨리갈라고 빨리뜀 ㅋㅋ,몇번?,300,우린 4단지 정류소에서 name13 가다리는중
55455,﻿Chat6316,,,왜 코미디프로는 항상 밤에 할까?,잘자라고 그런거 아냐.
1282104,MDRW2100009699.1,그럼 괜찮은 커뮤니티가 있는지 제가 한번 알아볼까요?,그래 니가 좀 알아보렴,제가 알아보고 알려드릴게요,그래라
1786403,MDRW2100045389.1,ㅇㅎ 난 근데 싱거운 물은 마시겠거든? 싱거운 탄산수는 도저히 못마시겠어 대한민국 가정이라면 어디나 하나쯤 가지고있다는 매실청 물에다 타면 나 진짜 매실 향만ㄴㅏ는 수준으로 연하게 먹는데 탄산수에 타면 거의 매실음료캔수준으로 타야해....,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ아닠,근데 굳이 그렇게까지 탄산수를 마시기보단 걍 물을 마시면 될것같아서 물을 마시고있어 약간 탄산은 자체적으로 톡 쏘다보니까 같이 있는 맛도 좀 진해야 느껴지는것같아,그렇긴 해 ㅇㅇ 약간 아이스크림같이
17706,Chat13413,정치인의 돈은 국민의 혈세라지?,그럼. 나라를 위해 일하니까.,그럼 너무 많이 준다.,많이 준대?
1034405,MDRW2100001589.1,,헐 여슈 이때 장첸느낌으로찍은거 있지안나....오늘운동가야지,웨얼 이주 쉬? 쉬즈 곤! ?,노 쉬즈히얼
735933,﻿MDRW2100000253.11,,,팔공티 먹고싶다,어디서파는가 사다줄게
1806377,MDRW2100046850.1,,감사합니다 :),저는 시내에 나가서 밥도 먹고 겨울옷좀 살 생각이에요 name2님은 퇴근하시고 뭐하시나요? 혹시 치맥? ㅎ,크으 오늘같은 날에 치맥하면 정말 좋을 것 같아요:) 그렇지만.. 아침일찍부터 일을 했더니 기력이 딸려서 마라샹궈를 집에서 해먹어볼까 해요 ㅋㅋㅋ 혹시 마라샹궈 좋아하시나요?!
338694,HuLiC7041,응응 나도 파스타 좋아해. 마루찬이는 어떡해 만들어?,저도 마루찬 좋아해요. 물을 끓이고 파스타를 넣어 만듭니다.,흠.. 그리고? 뭐가 들어가?,저는 스파게티와 미트볼 만드는 것을 좋아합니다. 당신은 무슨 요리하는 것을 좋아하나요?
