,dialogue_id,Q-3,Q-2,Q-1,A
901318,MDRW2100001514.1,다섯시에 할거 같은 느낌인데 ㅋㅋㅋ,다섯시?,어제 4신가 했었는데 어제 아닌가 그젠가 소형이라서 ㅋㅋㅋ,어제 ㅋㅋ 소형
500387,﻿감성대화말뭉치.19557,,,정년이 다가오니 슬픈 감정이 들어.,일할 날이 얼마 남지 않아 아쉬움이 크신가 봐요.
227851,HuLiC4484,"네, 저는 학교와 일 때문에 매우 바쁩니다. 취미가 뭐예요?",내 취미는 식물 기르기야. 너는 취미가 뭐야?,저도 식물 기르는 것을 좋아해요. 당신은 어떤 식물을 기르시나요?,난 필로덴드론과 알로카시아 종류를 키우고 있어. 넌?
286430,HuLiC5836,난 말랑말랑하고 달콤한 복숭아가 좋아 !,다른 과일도 좋아하세요?,응 ! 과일은 다 좋아해. 너는 어떤 과일 제일 좋아해?,제가 가장 좋아하는 과일은 파인애플입니다. 다른 과일도 좋아하세요?
812625,MDRW2100001275.1,저도 넣어봣어요 키키,헤̈ 헤헤 쏘옥쏙쏙,제가 숙소 ㅋㅋㅋㅋ쏘옥쏙쏙ㅋㅋㅋㅋㅋㅋㅋㅋ 숙소 찾아봣는데 빨리 저기잡아버리죠!!!!,저 이백육호요?
1817565,MDRW2100046951.1,그건 또 뭐래요,나도 기억이 잘 안나는 식당을,어머나 애들은 진짜 똑똑,생각해보니 갔었음. ㅋㅋ
53998,Chat6049,정말 그런거 같아 나도 그렇고.,야야 오바하지마.,오바라니 나 진짜 착해 ㅋㅋ.,그래 알았다 알았어.
1441099,MDRW2100020848.1,허걱 맞아요 ㅋㅋ 젤 무서운게 삼한사온 아니에요? 녹았다 얼었다 반복하면서.. 죽음의 통로를..,맞아요!!!!! 진짜 그러면 그냥 집에만 누워있고 싶어지는..... 그래더 겨울에는 붕어빵 먹을 수 잇어서 좋야요 ㅎㅎ 붕어빵 좋아하시나요?,붕어빵 좋아하죠︎ 그거때문에 겨울 기다려요,ㅎㅎ 저도요 계란빵도 너무 좋어요! 그 겨울 음식 시리즈 붕어빵 호떡 찐빵 다 너무 좋아요 ㅎㅎ
1881352,MDRW2100047041.1,3년을 했지만,ㅋㅋㅋㅋㅋ,재미있다./..ㅋㅋ,ㅠㅠ 정말 웃긴 일화인데
491215,감성대화말뭉치.17758,아버지께서 화가 나면 때리려고 해 대들게 되었군요. 많이 화났겠어요.,맞아. 나는 아빠의 화풀이 대상이 아니야.,아버지께 직접 그 마음을 전해서 서로의 오해를 푸는 건 어떨까요?,몰라. 지금은 나도 말하기 싫어.
275140,HuLiC5575,지금 몇 살이야? 얼마동안 교회를 다닌 거지?,저는 38살입니다. 저는 평생 교회에 다녔습니다. 저에게는 중요한 일입니다.,그럼 30년 넘게 교회를 다닌거네?,저는 평생 교회에 다녔습니다. 저는 그것 없이 무엇을 할 수 있을지 모르겠어요.
828639,MDRW2100001333.54,name1샘 컴좀바꿔요,이따위로 ㅅ애겼는데,이얘기함 ㅋㅋㅋㅋ,어짜라는겨 ㅋ
675974,MDRW2100000100.23,토스 퀴즈 시간이 2시에서 5시로 아예 바뀌었나봐요.,얼마전 수목원 가자던데 거기 갈지 어떨지 모르겠어요~ 에버랜드는 진짜 사람 적을 때가 있기는 한가요?--; ㅜ 토스 퀴즈가 매일 있어요?,그런가요. 우리 톡방이 요즘 그닥 관심을 갖지 않으나..ㅋ 토스로 모였는데..ㅋ,그러게요 ㅋㅋㅋㅋ토스로 모인 ㅋㅋㅋㅋ 토스에 재미가 시들 ㅋㅋㅋ
912437,MDRW2100001516.1,ㅠ 여보 아직도 안먹은거니 name8 압축해서 놀았구나 퇴근해요,조심히,네~ (주유중) 길에 차가 많네 꽤 막힐 느낌,여보 name8 문 열어주고 깄어?
83151,HuLiC1144,난 잘 있었어요. 너는 어때요? 요즘 무슨 일 있었어요?,저번에 길이 미끄러워가지고 교통사고 날 뻔했잖아요..,"어머나, 정말 안됐네요. 괜찮길 바래요!",뭐 그래도 괜찮아요. 별 일 없으셨어요?
360077,HuLiC7535,ㅋㅋㅋ 와 이게 얼마만이야?,엑소 멤버 세훈 영화 찍었다며??,ㅋㅋ 크랭크업한지 오래인걸로 아는데 ?,개봉 언제인지 알고있어??
35954,Chat2575,에휴.,웬한숨이야? 무슨 고민있어?,응 시험망했어.,$Theme봤어?
1174130,MDRW2100002332.1,절대 안나요 ㅋㅋ 맞아요 꼭 없어요,노부부가 하셨는데 아직도 하실련지 그립긴 하네요,아 예전 우연히 들렀던 시장한켠에 그날그날 안주를 내오던 막걸리집도 간판이 없어요 맞아요 노부부 ㅎㅎ 공식인가봐요 왠지 돌아 가셨을것도 같고요 ㅜㅜ,그릇도 제각각 제멋대로 갖춘것도 없는데 맛은 끝내주는 ㅎㅎ
1643570,MDRW2100034825.1,헉; 생각보다 더 손이 많이 가네요 꽃앙금도 만들어 보셨나요,네네! 요새 유튜브에 잘올라오더라구요 *_* 따라해봤죠..ㅎㅎ 저녁은배부르게드셨어용?,된장찌개에 차돌박이 조합은 사랑입니다ㅎㅎ 꽃앙금을 만드시다니 금손!,헐 맛있는거 드셨네요! *_*)/ 사진을 보낼 수있다면 금손이라는 소리는 안하실것같습니다. ㅋㅋㄱㄲㅋㅋㅋㄱㅋㅈㄱㅈㅋㅈㄱㅈㅋㅈㄱㅈㅋ
1060244,MDRW2100001597.1,응 한번,그래 그나마 다행인건가 ㅠㅜ,응 퇴근?,응 이제 얼른 갈겡
