,dialogue_id,Q-3,Q-2,Q-1,A
1124987,MDRW2100001635.1,흥!,뉴트리아임!!,사람이 뫄리야~~ ㅋㅋㅋㅋㅋㅋㅋㅋ아니 소파에서 잠??? 아닌가,방가서자고 일어나서 다시영화!
254977,HuLiC5109,난 맥주 좋아하진 않는데 일본 생맥주는 좀 맛있더라.,"그게 뭔지는 모르겠지만, 당신 말을 믿을게요.",일본 말고 가보고 싶은 나라는 없어?,저는 독일에 가고 싶습니다. 저는 항상 알프스에 가보고 싶었어요.
39939,Chat3376,곱창먹을줄 알아?,"그럼, 얼마나 맛있는데.",못먹는 사람들이 있길래.,그맛있는걸 못먹다니.
14534,Chat12806,와! 멋있다.,정말 눈물 났었어.,나라도 그랬겠어.,아직도 기억나.
1955660,MDRW2100047102.1,어차피 중드 갈수록 잼나니까,엉 초반엔 사건가꼬하니까 그래서그냥보다보니볼만함,오케,친애적열애적도 갠챠는데 고장극함보고보던지 9회메모 감정선 너무어렵다
1336167,MDRW2100013577.1,아무래도 점점 그쪽으로 가는 거 같긴해요. 근데 전 다양한 곳을 여행하기 좋아해서 한곳을 가면 다신 못올곳이라고 생각하니까 뭐 하나라도 더 보거나 먹게 되더라구요.. 쉬면 왠지 아깝고..ㅎㅎ,아 그런건 있어요 언제 또 와보겠나 해서 엄청 돌아다니다가 파스 붙이고ㅋㅋ,ㅎㅎ 맞아요.. 그래서 여행후 한국오면 앓아눕죠,알면서도 다음여행가면 또 그러자나요ㅋ
174553,HuLiC3253,가끔 배아픈 거말고는 전반적으로 건강한거 같아. 물론 가끔 일때문에 편두통에 시달리긴 하지,그 말을 들으니 유감이네요. 편두통은 정말 머리가 아플 수 있습니다.,편두통은 정말 고통스러워. 처음에 왼쪽부터 아프면 나중에는 오른쪽이 아프더라고,무슨 말인지 알겠어요. 그들은 3일에서 7일까지 지속될 수 있습니다.
138083,HuLiC2411,"아, 너무 귀엽네요! 어렸을 때 다른 애완동물이 있었나요?",음 생각해보니까 어렸을 때 병아리도 키워 본 거 같아,"아, 정말 다정하시네요. 그녀는 이제 몇 살이에요? 아직도 데리고 있어요?",아니 어렸을 때 몇 일 못 버티고 죽었던 거 같아
414591,HuLiC8794,이거 내 기억으로는 5.18 민주항쟁 얘기 다룬거일걸?,오 진짜?,ㅇㅇ 맞지 싶은데 잠만,웅웅 ㅋㅋ
159102,HuLiC2898,"그렇진 않지만, 니코틴은 세계에서 가장 중독성이 강한 물질 중 하나라는 건 알아요.",너는 금연할때 도움을 받은게 있어?,"그랬죠, 하지만 오래 전 일이었어요. 저는 아직도 담배를 끊는 데 어려움을 겪고 있습니다.",가끔씩 담배를 피우는거야?
519417,감성대화말뭉치.23303,앞으로 연금을 받으면 되지만 어떻게 지내야 할지 모르겠어.,하고 싶으신 일들이 있으실까요?,드론 조종을 배우고 싶어.,은퇴 후 드론 조종을 배우면서 시간을 보내시면 좋으시겠어요.
626874,﻿감성대화말뭉치.7558,,,요즘 혼란스러워.,그렇게 판단하시는 이유가 있나요?
817130,MDRW2100001285.26,맛이 좋대여,맞나,핫도그가 다햇을듯,담에 모일때 먹어봐요
1787888,MDRW2100045493.1,오늘 기차도 있나 봐요,저도 첨본 ㄷㄷ,게임이 진짜 디테일해요,진짜 꼼꼼하다는 요
1635728,MDRW2100034232.1,오 서있는구나 졸리면,아니 교실이면 책들고 뒤로가서 서있잖아요 여긴 그게안돼ㅜ,ㅜㅜㅜㅜㅜㅜㅜ 실습해야해서 자리 떠날수없믐,찬 물 마시면서 깨고 싶은데 코로나라서 그것도 눈치보임
18882,﻿Chat1363,,,난 사람들 앞에 서면 말을 더듬어.,너도 그래? 나도 그래.
1507250,MDRW2100025363.1,아 맞아요ㅋㅋㅋㅋㅋㅋㅋ 살찐게 아니라 털쪘다고ㅋㅋㅋㅋ 너무 웃겼어요,그러니까요 ㅎㅎ 동물들도 과하게 살찌지 않게 밥 양조절 해줘야 하나 봐요,네네 맞아요 사료의 양도 잘 조절해서 급여해야 해요 애들도 성인병 걸린대요ㅋㅋㅋㅋㅋ,아아ㅋㅋㅋㅋ 되게 유익한 정보였네요 동물들도 살찌면 건강이 안좋아지는구나
