,dialogue_id,Q-3,Q-2,Q-1,A
1644912,MDRW2100034929.1,전 한달전부터 공부했어요 ㅎ 전 벼락치기가 잘 안되는 타입이라,와.. 너무 신기해요 저는 그런 분들 존경해요.. 계획대로 공부하고 그러는 분들.. 그럼 초등학교때 방학숙제도 미리 하셨겠네요,방학숙제는 노노... 일기랑 독서록 밀려서 울면서 썼어요 ㅠ,ㅎㅎㅎ 역시 방학숙제는 미리 하는 사람은 드문가봐요 ㅋㅋㅋ 저도 막 한달치 일기 한꺼번에 쓰고 그랬던 게 생각나네요
111216,HuLiC1792,저도 그렇게 생각해요. 저는 최대한 겸손해지려고 노력합니다. 그것은 제 자신에 대해 좋게 만듭니다.,좋은 생각이야..나도 겸손해 지려고 노력하지만 항상 그런 것 같지는 않아.,좋아요. 겸손해지는 것은 당신이 좋은 사람이라는 것을 보여주는 좋은 방법입니다.,남에게 좋은 사람으로 보여 지려고 겸손해 지는 건 아니고 교만한 사람을 보면 저렇게 되지 말아야지 하는 생각으로 겸손해 지고 싶은 마음이야 ㅋㅋ
1437806,MDRW2100020620.1,,본진 그룹이 어디세요 그러면?,지금은 마마무이긴한데 제가 좀 입덕을 많이 해가지구.. 지금 한두달 사이로 계속 입덕해요ㅋㅋ,ㅋㅋㅋㅋ 귀여우셔라 저도 그래요 근데 온니원! 은 아닌 것 같아요
1042283,MDRW2100001590.1,오우 그래도 배안아파져서 다행이에용,그러게~진짜 쉬어야되나봐...,ㅠㅠㅠㅠ마자용... 혼밥하러옴 히히ㅔ,유가네맛있겠구나ㅠ address에는 없어져서ㅠ
1798583,﻿MDRW2100046274.1,,,안녕하세요,안녕하세요 오늘 점심메뉴 정하셨나요?
806620,MDRW2100001270.9,적당히 먹어 난 집,내일 저녁 오늘 사놔 ㅋㅋ,나라도 아껴야제,ㅡㅡㅋ
1761436,﻿MDRW2100043542.1,,,영양제 사주던가,어떤 영양제면 꾸준히 먹을까?
304719,HuLiC6258,아 그래? 나도 스테이크가 좋긴한데 수입산 소고기는 넘 질겨서 차라리 돼지 고기를 더 선호하는 편이야 ㅎㅎ,저도 돼지고기 좋아하는데 스테이크가 더 맛있는 것 같아요.,맞아! 맛있는 스테이크는 아무도 못이기지 ㅎㅎ,맞아요. 스테이크는 제가 가장 좋아하는 음식입니다. 가장 좋아하는 음식이 무엇인가요?
1703386,MDRW2100039327.1,그 분이 ㅋㅋ,오 정말 그런걸까요?? 그리고 제가 골프를 배우고 잇는데 본인도 얼마전에 시작햇나봐요 근데 저보고 너가 골프를 한다고? 야망잇는 여자네~~이랫어요 ㅋㅋㅋ 왠 야망..ㅋㅋ,풉ㅋㅋ 야망요? 겨우 그런걸로 야망을?ㅋㅋ,네 그냥 질투났나봐요 지사장님이랑 처음으로 필드 나가기도 햇거든요
526,Chat10093,정말 그러니?,응. 물론이지.,이상하구나.,난 그렇게생각 안해.
1544552,MDRW2100027925.1,근데 밤에 일찍자야하는데 전 새벽에 자요ㅠ 아침엔 늦게일어나고 항상..,저도 비슷해요ㅋㅋ 5시에 자다가 개강해서 일찍자는게 3시에요,ㅋㅋㅋㅋㅋㅋㅋ 진짜ㅡ..... 일찍자기가 세상에서 가장 힘들어요 ㅋㅋ,일찍 자야숙면에 좋다는데.. 마자요
436984,HuLiC931,저희 집 강아지의 품종은 진돗개였습니다.,강아지치고는 귀여운 이름이네요. 당신만의 다른 애완동물은 없나요?,저는 기니피그를 키우고 있어요. 아주 색다른 애완동물입니다.,수고 많으셨을 것 같네요. 돼지를 얼마나 키우셨어요?
425459,HuLiC9044,공유랑 박보검,아 그거 유튜브였나 인스타였나 어디서 예고 본거 같다,나도 예고 봤어. 액션인거 같던데?,웅 근데 그거 호불호 있더라 괜찮다는 사람도 있고 별로라는 사람도 있고
