,dialogue_id,Q-3,Q-2,Q-1,A
1233207,﻿MDRW2100006387.1,,,그러게요ㅋㅋㅋㅋㅋㅋㅋ,다먹어놓고
521131,감성대화말뭉치.23644,친구 남편이 명예퇴직을 권고받았다고 해. 지금 친구는 앞으로의 생활이 막막한가 봐.,친구분이 갑작스러운 남편의 퇴직 권고에 충격이 크셨겠어요.,그래서 오히려 연금을 꾸준히 넣고 있는 우리 집을 부러워하더라고. 연금 넣은 것에 대해선 안도하고 있어.,연금으로 노후준비가 되어서 안심하시는군요.
1177972,MDRW2100002591.1,저도 그래여,최근 머보셧어요?,까막듣해서 기억이 ㅋㅋ,ㅋㅋ저도 웹툰이나 봐요
1173095,MDRW2100002273.1,네 ㅋㅋㅋㅋㅋㅋ,전 되잖아요ㅎㅎㅎㅎㅎㅎㅎ,내 직업을 내가 좀 비하하겠다는데!!!! 그러게요,그니깐요ㅎㅎ
114069,HuLiC1858,"어머나, 너무 슬프네요. 그녀가 빨리 새 집을 찾기를 바랍니다.",아니 사실 슬픈 이야기는 아니야.ㅎㅎㅎ,듣던 중 반가운 말이네요. 당신이 그것에 대해 슬퍼하지 않아서 기뻐요. 당신은 재미로 무엇을 하는 것을 좋아하나요?,아주 늦은 시간에 맥주 한잔에 옛날 드라마 보는 거.ㅎㅎㅎ
1482130,MDRW2100023684.1,이번에 경주월드 다녀왔어요! 시국이 시국인지라 조심스럽긴 했죠..ㅠㅜ,와! 저 경주 좋아하는데 거기는 한번도 안가봤거든요ㅜ 어때요?,에버랜드나 롯데월드에 비교하면 작긴 한데 탈 거리는 정말 많더라고요! 오히려 넓지 않아서 자유이용권 제대로 활용하고 온 것 같아요ㅋㅋㅋㅋㅋ,경주를 가야할 이유가 또 늘었네요ㅋㅋㅋㅋ 또 어디가셨어요?!
1475661,MDRW2100023251.1,그건또 아니구요 ㅎㅎㅎ,근데 제가 시간을 너무 많이 잡아먹는거아니에요?ㅎㅎ,사적인건 잠시 패수 ㅎㅎ 아뇨 저 할건 다해요,직업에대해ㅎㅎ 근데 스카웃됫다고 하셨잖아요ㅎ
1229796,MDRW2100006138.1,아..너무 좋았겠어요. 그거 티켓은 어디서 예약하셨어요?,인터파크나 티켓링크..멜론티켓 이런 곳이었던듯요..,아. 보통 얼마씩 하나요?^^,꽤 비쌌어요.. 가장 좋은 자리 인당 15만원 내외??
889560,MDRW2100001499.1,그치 부동산하고,부동산은 왜?,돈벌어야지 부동산은,아 부동산은 그냥 돈벌려고?
165810,HuLiC3051,"거북이는 멋지지만, 애완동물로 키울 수 있을지 모르겠어요.",생각 한것보다 신경쓸게 많은데 그래도 키우기 편해!,거북이는 돌보기가 꽤 쉽습니다. 그들은 많은 보살핌을 필요로 하지 않습니다.,맞아 물 체크 주기적으로 하고 밥잘주고ㅋㅋ
