,dialogue_id,Q-3,Q-2,Q-1,A
774103,MDRW2100001113.2,첫째 추가금 있네 ㅜㅜ,첫째있으면 추가금이 있다고?,ㅇㅇ 어린이집 다녀오는 애들은 하루5천원씩 오오~~~ 여봉 둘째는 4주까지 지원해준대,ㅎㅎㅎㅎㅎ 오
1851046,MDRW2100047020.1,이사 아님 방출 못할듯.ㅋㅋㅋㅋ,근데 name9네는 진짜ㅋㅋㅋ 효율성 짱이다 셋이봐ㅋㅋㅋ 사실 둘만 봐도 진짜 사는 맛이 있겠던데,휴.... 오늘 다빔이 없으니 name5이 보는거 죽을맛..,휴 name5 또 컨디션 안좋아서
809585,MDRW2100001275.1,강릉은 8월에가요,연차 8월내로,연차써야해,다쓰셔야되는거에여?
199738,HuLiC3835,정말 재미있을 것 같네요. 당신은 이번 주말에 여자 친구와 무엇을 할 건가요?,이번에 새로운 영화가 많이 나와서 영화보려고,당신은 무슨 영화를 보셨나요? 아직 새로 나온 마블 영화들을 볼 기회가 없었어요.,이번에 스파이더맨 새로운 시리즈가 나와서 스파이더맨 시리즈들을 다시 보는 중이야
577056,감성대화말뭉치.34595,서류 문제로 회사 동료와 말다툼을 하고 며칠째 말을 안 하고 있어. 처음엔 화가 났지만 지금은 내가 왜 그랬을까 울컥해.,회사 동료와 말을 하지 않는 상황이 심적으로 힘드신 것 같군요. 동료에게 어떻게 하고 싶으세요?,일단은 사과를 하고 싶어. 전화보다는 직접 보고 얘기해야겠지? 용기를 내야 해결할 수 있을 것 같아.,동료와의 다툼으로 말을 하지 않고 있지만 사과를 할 생각이시군요. 용기 내시길 바라요.
1423573,MDRW2100019656.1,스테이크 맛있죠ㅎㅎ 사실 고기로 한 요리는 다 좋아해요 일식은 역시 회를 좋아하시나요?,회가 1등! 초밥이 2등입니다 ㅎㅎ 연어는 회로 먹으면 맛있는데 연어구이는 별로더라구요 ㅜㅜ,연어구이 맛있기가 힘든거 같아요 연어가 비린생선이라는 말도 있구요 회중에는 참치회를 좋아하시나요? 아니면 광어회?,회는 당연히 방어회가 1등 아닐까 싶어요.. 근데 겨울에만 맛볼 수 있다는 게 마음 아파요 ㅜㅜ
1228088,MDRW2100006015.1,오 그렇군요 전 저희지역 3단계 4주 연장밖에 몰라서요 ㅠ,ㅋㅋㅋ 저도 몰라서 찾아봤네요 근데 가가호호 찾아다니면서 수 셀 것도 아니구 잘 지켜질지 모르겠어요,맞아요 지금도 단속 안되는데 어떻게 하려고 그러는지 모르겠네요,그니까요 ㅋㅋㅋ 저희 회사에서도 자꾸 확진자 나오고 그래서 불안해요 근데 놀러다니는 사람들은 잘만 다니더라구요
1045075,MDRW2100001592.1,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ스바!!!! 줴발..!!ㅜㅜㅜㅜ하늘이시여...!!!!!!,후훗^_^ 얼굴때를벗겪다!!,뽀도도도도ㅗ도도도도도돍! name2..!깐달걀.!!,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅅㅍ 어디서 흙묻은 계란이 나에게 말을거느냐 ^_^
838193,MDRW2100001370.1,메달따러온게 아니라고 했던가,진짜 개헛소리야 ㅋ 올림픽시작전에 2연패 당연히한다고 야부리 털어놓고 노발대발,왜갔니 새끼야,졸라 감독 수영해서 한국와얗요 와야해요 ㅅㅂ
479766,감성대화말뭉치.15510,이번에 진로 캠프에서 강의를 듣고 진로를 찾았어! 진로에 고민이었는데 너무 신나.,진로 캠프 덕분에 진로를 찾으셨군요.,그림을 그릴 때면 너무나 힐링이 되더라고.,그림을 그리는 직업을 택하신 건가요?
588574,﻿감성대화말뭉치.36853,,,어제 여자 친구랑 헤어져서 너무 슬퍼.,여자친구와 헤어져서 많이 속상하시군요.
452334,감성대화말뭉치.10130,그래서 내가 사업을 하나 더 해보려고 하는데 어떻게 생각해?,어떤 선택이 사용자 분에게 가장 좋은 선택일까요?,한 번 해봐야겠어. 이번에도 분명히 성공할 거야.,사업이 성공하시길 바라요.
301344,HuLiC618,궁금하면 사진이라도 보내줄까? 너도 보내줄래?,"그럼요, 사진 한 장 찍고 싶어요. 즐거운 시간이 되실 거라고 확신해요.",나도 언젠가 니가 사는 지역에 들러보고 싶다,그거 참 잘됐네요! 당신과 당신 가족의 사진을 정말 찍고 싶어요. 어디를 방문하고 싶으세요?
1309822,MDRW2100011725.1,오,걍 우리가하는 인터넷같은 가상세계를 다 합쳐서 있어보이게 설명해놓은늑김,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 근데 가상현실이랑 현실 구분 못하는 ㅅ ㅐ ㄲ ㅣ 들이 너무 많은것 같음,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ인정합니다
66710,Chat8475,,얼마나 쇼핑하는데 돈을 써?,한 오만원정도.,그 정도면 싼편인가?
392105,HuLiC8274,아니 없더라 ㅜㅜ,아 그럼 어디서 보게??,웨이브로 결제해서 봐야지 뭐,왓챠에느 없으려나?
601394,감성대화말뭉치.39364,시간이 흘러도 불우했던 어린 시절의 기억이 계속 떠올라서 나를 괴롭혀.,어린 시절의 불우했던 기억이 떠올라 지금도 괴로우시군요.,그때 너무 못살아서 밥도 제대로 못 먹고 온종일 물로만 배를 채우기도 했어.,어떻게 하면 괴로운 기분이 좀 나아질까요?
188612,HuLiC3579,정말? 해변이 많다니 멋진곳인데 가보고싶다,한 번도 가 본 적은 없지만 언젠가 꼭 가보고 싶습니다. 아름답다고 들었어요.,아직 못가봤구나 멋진 해변에 여행가본적있어?,"네, 저는 하와이에 있는 바닷가에 가본 적이 있습니다. 아주 좋았어요."
1379386,MDRW2100016523.1,비슷하네요ㅋㅋ 생필품은구입안하세용,다이소도 가끔갑니다ㅎㅎ,다이소편하구좋지요ㅜㅜㅎㅎ답장이너무늦었어요ㅜㅜ,다이소 없는게 없어요~~
1381668,MDRW2100016685.1,이상형이 어떻게 되세요?,다정한 사람이요,저는 혼자서도 잘지내는 사람이요,그렇군요~ 혼자서 잘 지내는 것도 중요하죠
1753476,MDRW2100042954.1,게임 좋아하세요?,예전엔 조금씩 했었는데 요즘은 안해요! 게임 좋아하시나여,자 요즘 예전에 하던 메이플 다시 하고 있어요 ㅋㅋㅋ,아 ㅋㅋㅋ메이플 가끔씩 복귀하는 친규들 있더라구요
943913,MDRW2100001529.1,아마 열었겠지만 귀찮어 라면 있으면 끓여먹고 말란다,없다에 한표,나름 구황작물등등 먹을게 좀 있긴 해 진짜 촌놈돼버렸어 ㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아참 울집 빨간 의자 언제 가져갈래?
200695,HuLiC3858,,시간 참 빠르다 벌써 올 해가 다 지나갔네 ㅠㅠ,벌써 1년이 지났다는 게 믿기지 않아요.,그러게 말이야 올 해 되게 바빴는데 그래서 더 시간이 빨리 간 것 같아
982170,MDRW2100001544.1,갑자기 급하게 처리할 일이 생겨서 넉넉잡고 3시 30분까지?,동아리수업이 3시에 시작함.,동아리명에 띄어쓰기 해 놔 가지고 그거 찾아내느라 조금 더 신경썼다.,감사.. 근데 누군지 얘기를 해야지.. 깜놀랐네. 목소리도 도전적이라서리... 혼나는 줄 알았잖아.
935278,MDRW2100001528.1,다행이에요! 전벌써 출근!,전 아직 가는 중이에요ㅠ 오늘두 힘내세요!!,빡빡한 출근길! 내일은 지하철 안타도 되는날이니 name2씨도 힘내셔요,점심시간을 활용해서 환전했어요!
1845217,MDRW2100047019.1,개빡치게 진짜,장학금을,하,주는거?
1888779,MDRW2100047046.1,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,진지하게 대화에 임할뿐,진지해지지 마세여,ㅋㅋㅋㅋㅋㅋㅋㅋ 넵 아
160085,HuLiC292,"네, 그것은 2차 세계대전이었어요. 이 전투는 독일과 소련 사이에 벌어졌습니다.",전쟁을 일으킨 독일 총통이 누구였더라? 이름이 갑자기 생각이 안나네,"확실하지는 않지만, 전쟁이 1939년부터 1945년까지 지속되었다는 것은 알고 있습니다.",히틀러 아닌가? 나치 독일 총통
243625,HuLiC4848,"아뇨, 당신이 한 말은 다 기억해요. 그게 무슨 상관인지 모르겠어요",쳇... 알았어 앞으로 서로 존중하자.,당신을 존중하지 않겠습니다.,헐... 화 났구나?
978678,MDRW2100001543.1,ㅇㅇ 국?,청국장 먹을라면 난 라켓또 잘못쥐었납다 살짝 멍들음,거기가 왜지,언더칠때걸려서 내가꽉안쥐고 너무윗부분을잡은듯
227863,HuLiC4484,"네, 그래서 수의사가 된 거예요. 나는 동물을 사랑하고 그들을 돕고 싶어요. 애완동물이 있나요?",난 애완동물이 없어. 넌 애완동물이 있니?,"네, 강아지와 고양이가 있습니다. 너의 남은 시간에 뭘 하고 싶어요?",난 남는시간에 널 만나고 싶어. 시간 괜찮아? 일하는곳으로 근처로 내가 가도 되고~
934931,MDRW2100001528.1,이해해주셔서 감사해요 ㅠㅠ,아녜요 진짜 그러다 문책당하면 안될것같아여! 걱정마셔용!!,ㅠㅠ 진짜 약속 다 취소하라구 엄청 무섭게 지침이 내려왔어요...,이해해요ㅋㅋ 그쪽은 더 조심하구 그럴것같아요
