,dialogue_id,Q-3,Q-2,Q-1,A
1811282,MDRW2100046948.1,,연말정산은 3월에나 들어온대 name3말로 ㅋㅋ 삼호반점 이거 6년안됫고만,카드값이랑 보험료 총액 알려줘 나갈거,ㅇㅋ 142만 보험까지다
1551746,MDRW2100028426.1,아 전 런던 갔을때 제일 좋았어요,나가는거자체를 별로안좋아해요 멋있어요 어떤게 가장 기억에남으세요?!,저도 평소엔 정말 안나가서 공감해요ㅎㅎ 뮤지컬 좋아해서 매일 뮤지컬보러갔던거랑,그런가요?!! ㅎㅎ 우와
1889744,MDRW2100047047.1,이게 모라고 ㅠㅠ 신경질나,ㅠㅠㅠㅠㅠ,난 이런거... 모아야해 :((,고생했어
52324,Chat5742,오늘 여행가기에 날씨가 괜찮을까?,갑자기 왠 여행이야?,이런 날씨를 기다렸거든.,응.오늘 괜찮은 $Theme야.
517373,감성대화말뭉치.22904,돈을 저금하지 않을 수도 없고 누가 대신 해 줄 수도 없는 건데.,저금을 대신 해 줄 사람이 없군요. 이런 상황에선 누구의 도움을 받아야 좋을까요?,요즘에 인터넷 뱅킹도 되니까 자동 이체가 안 되는지 물어봐야겠어.,자동 이체를 신청하려고 하시는군요.
462668,감성대화말뭉치.12164,화가 나지만 좌절하진 않을 거야. 언젠가 나의 진가를 알아보는 회사가 있겠지.,그런 회사를 만날 때까지는 어떻게 준비를 하는 게 좋을까요?,지금 공부중인 자격증 시험에 합격하고 늘 면접에서 탈락하니까 면접도 더 연습하려고 해.,올해에는 꼭 좋은 결과가 있었으면 좋겠어요.
1114241,MDRW2100001625.1,나쁜넘아,보험있으면서,없음,있음
494595,감성대화말뭉치.18424,그녀가 좋아한다고 해서 매우 기쁘시군요!,너무 기뻐서 하늘을 날아갈 것 같아. 그녀에게 정말 잘 해줄 거야.,어떻게 그녀에게 잘 해줄 건가요?,우선 내일은 그녀가 좋아할 만한 맛집을 데리고 가야지!
158009,HuLiC2872,나도 기회되면 한번 해볼께.,스위치 있어요? 그것은 닌텐도에서 만든 휴대용 게임 시스템입니다.,닌텐도 스위치는 없는데 주위에 가지고 있는 사람한테 한번 빌려서라도 해볼께.,그것 참 좋은 생각인 것 같군요. 닌텐도 스위치로 게임을 하면 정말 재미있을 것 같아요.
1443183,MDRW2100020995.1,헐ㅋㅋ죽어버림? 주인공아니에여?,주인공인데 다이,ㅋㅋ뭐지,ㅋㅋㅋ 근데 자꾸 살아날까봐 무서움
915985,MDRW2100001517.1,운동하고왓슈 못채웟어 오늘밤에 걷자 ㅋ,그르자,젭알,너만 정신차리믄데
1824730,MDRW2100046974.1,112에 신고했지 ㅋㅋㅋㅋ 늦었대 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,늦어써.. 엄마 먼저 얘기했자나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,봇대 개꼰대 ㅋㅋㅋㅋㅋㅋ진짜 아들 낳으면 잘 키우겠다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅠㅋㅋㅋㅋㅋㅋㅋ 저 애기가 한 것도 아닌뎈ㅋㅋㅋㅋ
1467554,MDRW2100022724.1,저런..그러면 새로운 연애를 하고싶으신가요?,아뇨 저 모쏠입니다,그러시구나 결혼계획은 있으신가요? 전 결혼할생각이없어서요,비혼주의자에요^^
816859,﻿MDRW2100001285.204,,,그 있으면서,난 전회사에서 5씩했는데
1389713,﻿MDRW2100017255.1,,,안녕하세요,안녕하세요~
1066564,MDRW2100001600.1,,얼른 다시보기 나와줘ㅜㅜ 나 얼른 볼래ㅠㅠㅠㅠㅠㅠ,나듀ㅠㅠㅠㅠ,프사바꾼거봨ㅋㅋ
1418288,MDRW2100019293.1,,리브메이트 뽑기 하셨나요?,네당근 꽝이죠 쳇봇도꽝,꽝파티!!
705181,MDRW2100000137.10,추매할까요 하길래,사지말고 관망하라고해 사면 안된다 아직,돈있으면 하는데 그냥 있으라했다,잘했오
1525186,﻿MDRW2100026610.1,,,운동 좋아하세요???,저 최근에 복근운동 하다가 어느순간부터 저도모르게 안하구 있네요...
1401537,MDRW2100018106.1,한통에 한알요..??ㅋㅋ 오늘 택배 안왔어요?,오늘 마스크 택배온데요ㅋㅋ kf90짜리요ㅋ,흐흐 싼거쓰세요 좋은 거 쓰세요?,50장샀는데 17000원하네요ㅋㅋ
679713,MDRW2100000103.182,와 무슨 여기서,어머,물싸대기를,"물""싸대기라니드라마야"
1697701,MDRW2100038908.1,오 제일 자주하시는 음식은 뭐세요? 저희집은 요즘 동네에 부대찌개 밀키트 포장해서 자주 먹어요,김치찌개요..제일 편하고 맛있고..쉬워서요!!! 밀키드도 가끔쓰구요 저녁은드셨어요?,앗 제가 며칠 잠수타서 다시 저녁 ㅎㅎ전 고구마랑 보쌈 먹었어요 요리담당 name2님은 오늘 메뉴가....?,김치에고등어요
753994,MDRW2100000568.1,보일러는 잘 안틀어요 롱패딩으로 대체할만 해서,그래도 보일러틀면 훨씬 나아요..!!,뭔가 묘하게 적정온도가 안나오더라구요 너무 덥거나 켠것같지 않거나,흠 그렇군요
1191431,MDRW2100003542.1,또 강남역이네~,뭐.. 이제 익숙하죠~ㅎㅎ,딸이 괜찮다고 생각되면 한번해봐~,뭐~ 안되면 말고니까~ 되면 좋은 거고~~
712812,MDRW2100000176.20,ㅋㅋ 나 지금 유퀴즈 보는데 재밋군ㅋ 카이스트아저씨ㅋㅋ 총장이라는데 괴짜임,왜?,자기 컴터 해킹하는 사람한테 1년치 장학금 쥰단다ㅋ,헐..ㅋ
1475471,MDRW2100023238.1,싼 음식 식재료를 찾지말고 좀 돈이들더라도 싱싱하고 좋은음식들을 찾아먹는 습관이 필요해대요,그렇군요ㅜㅜ,근데 어렵죠,그쵸 가격을 볼 수밖에 없으니
966917,MDRW2100001540.1,자고 있나바~~,안받아유,일어났니~~ 옥수수를 안가져갔네,병명이 뭐라고 써있어요?
1407767,MDRW2100018538.1,주말도 비가 온다고 하너요,맞아뇨,비좀 그만 왔으면 좋겠네요,지겨워요
46282,Chat461,,스포츠 선수 누구 좋아해?,난 이천수.,이천수 너무 사고 많이 치자너.
289193,HuLiC590,나는 피자를 먹고싶어~ 햄버거도 맛있겠는걸,"피자도 좋지만, 저는 햄버거를 더 좋아해요. 당신이 가장 좋아하는 토핑은 무엇입니까?",토핑은 소세지랑 양송이를 좋아해 너는 어떤걸 좋아해?,"저는 베이컨, 양상추, 토마토, 양파가 들어간 맛있는 치즈버거를 좋아합니다."
315625,HuLiC6509,그것은 한국에 있습니다. 한국음식을 좋아하시나요?,난 한국사람이니 한국음식을 좋아하지..너도 마찬가지 아니야?,저도 한국 음식 좋아해요. 가장 좋아하는 음식이 무엇인가요?,냉면을 제일 좋아해. 냉면 먹어 봤어?
107419,HuLiC1704,"정말 무서울 거예요! 직접 보고 싶지만, 거기서 못 살 것 같아요.",화산이 내눈앞에서 폭발한다면 그즉시 나는 죽고 말겠지,"와, 정말 무서울 것 같아요! 당신이 그런 일을 겪지 않았으면 좋겠어요.","맞아, 화산에 가기전에 화산이 위험하지는 않은 지 알아보고 가면 될거야"
1379724,MDRW2100016547.1,코로나가 직격탄이죠 휴휴,어느쪽일하시나요?,저는 지하철이요 ㅎㅎ,와우 적성에맞으시나요?
768275,MDRW2100001100.67,넘늦게가니깐글치,입원했는사람이랑 예약되어있던 사람 중간에 계속온다,아,찜질은 기본이네 집앞에가도 비슷할것같은데
1568467,MDRW2100029587.1,요리중독은 진짜 중독이쥬,요리중독 존잼 전 고양이 나오는,정신없이 시간보내기 좋아요,카페나 힐링겜 좋아해요
574934,감성대화말뭉치.34177,많이 기쁘지. 그리고 공부하는 재미도 느끼게 되었어.,옛날에는 공부하는 재미를 별로 느끼지 못하셨나요?,옛날에는 공부할 시간이 없었지. 그래도 나이 들어서라도 이렇게 공부할 수 있게 되어서 얼마나 다행인지 몰라.,앞으로도 쭉 재미를 느끼면서 공부하셨으면 좋겠네요.
1757383,MDRW2100043237.1,맛있더라,협찬 좋다,볶음밥도조짐,그협찬 나를 데려가
1681317,MDRW2100037678.1,,굽네가까움?,그럽시다!!! 그 사이에 열어줘 제발 ㅋㅋㅋ굽네 완전 코앞,ㅋㅋㅋㅋ 대박 !! 짱이네 그럼
1312975,MDRW2100011966.1,저도 클루엘라 보려고 vod 기다리고있어요 어떠셨나요?,꽤 재밌었어요! 인물들이 연기를 잘하고 각자 배역에 잘 맞아서,좋아하는 영화감독 있으신가요?,좋았고 확실히 화려해서 보는 맛이 있더라구요 영화감독은 딱히 없어요 한국영화를 많이 보진않아서 추천하시는 영화감독님 있나요?
1905494,MDRW2100047058.1,이제 그거 끝나서 심심해서 어케,이제 일드하니까 괜차나,참나 ㅋㅋㅋ 어제 아빠 입원했는데 광자매 핸드폰으로 어케 보냐고 전화옴 ㅋㅋㅋㅋㅋ,ㅋㅋㅋㄲㅋ 광자매 그건나도푀ㅣㅣ 포기
822595,MDRW2100001306.26,나도 드라마 같이 순수한 남자들 이었으면 아름다웠을 텐데,affiliation가?????,어,이성 전혀 없어서 이미지 관리 안해도 되는 여고도 안그랬는데?
505966,﻿감성대화말뭉치.20658,,,신장이 좋지 않아 통원치료를 했는데 오늘부턴 집에서 약만 먹을 거야. 신이 나!,더 이상 통원 치료를 하지 않아도 되어 신이 나시는군요.
253717,HuLiC5080,와 너가 소유한 집에서 사는거면 너 엄청 부자네. 부럽다 부러워 세계 최고의 도시에 집을 가진 니가 부럽다,저는 뉴욕에 살지 않습니다. 교외에 살고 있어요. 뉴욕은 매우 비쌉니다.,아 뉴욕근처 위성도시에 사는구나. 우리나라 서울도 집값이 너무 비싸서 서울 근교에 사는 사람도 많아,당신은 서울에 사는 것이 좋습니까? 저는 언젠가 그곳에 가보고 싶습니다.
1422902,MDRW2100019607.1,네네 잘되네요 아주 폰을 껐다 키는게 답이엇다니,ㅋㅋㅋㅋㅋㅋㅋ황당하지만 정확한답을주셨구나 우산은안들고나갔지?,넹 비올거 같지 않은데,밤공기가좋겠구려  사실 마스크벗어야 밤공기를 느낄수있눈뎅
125744,HuLiC2127,수영할꺼니?,"아뇨, 전 수영하는 걸 좋아하지 않아요. 저는 상어가 무서워요. 수영하는 것을 좋아하세요?",수영은 못하지만 물에 들어가는건 좋아해,저는 바다에서 수영하는 것을 좋아합니다. 너무 평화로워요. 여러분은 물속에서 무엇을 하는 것을 좋아하나요?
