,dialogue_id,Q-3,Q-2,Q-1,A
145500,HuLiC2583,또 할꺼는 걸으면서 생각하자~ 일단 만나~,좋아요! 우비를 꼭 챙기겠습니다. 저는 약간 심신미약이에요.,응? 왜 심신미약이야?,"글쎄요, 제가 좀 내성적인 것 같아요. 당신은 재미로 무엇을 하는 것을 좋아하나요?"
1129215,MDRW2100001636.1,이래서 나 암걸림..,ㅈㄴ 빡치는 상황이네,다행히도 옆 창구에서 오라고 해서,후
716714,MDRW2100000195.34,왜 몰라 연시를?,엄마가 언제???,언니는 홍시 아니야?,너만 먹었냐??
1789001,MDRW2100045571.1,ㅇㅇㅇ,충신이네,돈키호테가 이상한놈인데 왜따라다니냐고 지금까지본 산초중에 훈진산초의러블리함을따라갈수없어,귀엽긴 한데 저 산초도 어.... 평범한 애는
64244,Chat8029,훌륭한 임금 밑에는 훌륭한 신하가 있다 하는데.,그런 얘기가 있어?,별로 믿을 건 못 되는 것 같아.,그런 것 같군.
82065,HuLiC1119,그렇게 보는 것도 좋은 방법이에요. 주의는 항상 좋은 것입니다.,알았어. 특히 운전할 때 조심할게.,좋은 생각이에요. 저는 항상 최대한 조심하려고 노력합니다.,특히 야간에 운전할 땐느 더더욱 조심해야겠어. 갑자기 튀어 나오는 사람들 조심.^^
949043,MDRW2100001533.1,귀여버 졸귀탱그리다,그치 완전 돈그리야 근데비싸 얌잔히잇어야지,진짜 돈을 아끼려고하는구나 멋잇다 역시 생해발해,오늘 약속도잇어서 더 아껴야해 열라밥퍼먹겠찌
1439770,MDRW2100020757.1,와 피자!!!!! ㅜㅜ 맛있겠어요,점심 맛잇는거 드세요!!!! 맛잇고 양 많은걸로 야무지게 챙겨드세용,찜닭먹고왔슴돠! ㅋㅋㄱ 피자드셨나용??!,ㅎㅎ먹엇어요 낮엔 덥네요 ㅎㅅㅎ 찜닭 식당가서드셧어용?
1190987,MDRW2100003510.1,90년대 노래 저고 좋아해요 ㅎㅎ 어떤 노래 좋아하시는데요?,전 다요ㅎㅎ 특히 쿨ㅎㅎ 아로하~~~ㅎㅎ,쿨 노래 좋죠,어둔 불빛아래 촛불하나ㅎㅎ와인잔에담긴 약속하나ㅎㅎ 하나같이 가사가 너무좋은것같애요ㅎ 티켓예약하고싶은정도에요ㅎㅎ 어떤노래좋아하세요?
517276,감성대화말뭉치.22886,내가 볼 때는 형편없는 학교에 들어가려고 해서 등록금도 못 주겠고 가지도 말라고 했어.,아드님의 학교 입학을 반대하셨군요.,재수를 시켜야지. 그런데 다음번에도 비슷하면 아예 대학교는 포기시킬 거야.,아내 분과 서로의 생각에 대한 대화가 잘 됐으면 좋겠어요.
1957396,MDRW2100047102.1,엉,왜설사람들은,엉,깍쟁이같은느낌이거 한사람엄다고
1441824,﻿MDRW2100020897.1,,,혹시.. 그 남자가 지금 옆에계신분?,아뇨 아까 말씀드렸잖아요 그분은 제가 가는산에는 안오시더라...그러고 끝났죠 ㅋ
