,dialogue_id,Q-3,Q-2,Q-1,A
1347152,MDRW2100014326.1,친구가 요즘 야구 알려주고 있어요 ㅋㅋ 같이 보러가자고 제가 룰도 잘 모르니까 기초부터 알려주고 ㅋㅋ 유튜브 링크 보내주고 그래요,야구 룰 몇가지알고하면 잼있는거같아요~ ㅎ ! 요새 야구하는데 경기장 관람되는지는모르겠네요 응원하고하면 잼있는데,네 ㅋㅋㅋ 거리두기이긴 한데 요즘 가능한가보더라고요 여기는 지방이라 그런가 응원하는게 재밌다고 그 친구도 그랬어요,저도 지방인데 작은지방이라 경기장없네요 ㅠㅠㅋㅋ
67876,Chat8685,그렇긴 하지만 너무 불편해서 잘 못 입겠던데 넌 어때.,난 입을 만 하던데.,넌 양복체질이구나.,그런 것 같아 양복을 입는게 난 좋더라고.
1330056,MDRW2100013171.1,ㅋㅋㅋ 맛있더라고요 저도가래떡넘좋아해요 통도 크고,엄청 쫀득할거 같아요ㅠㅠ 그 쌀떡 떡볶이에 주로 쓰는 몽툭하고 짧은 떡 안좋아하면 별로이려나여..,꼭 드셔보세요ㅋㅋㅋ 그거안좋아하셔도맛있을것같아요 로제떡볶이는 어떠세요?,헉 꼭 도전해봐야겠어요 로제 한창 흥할때 엄청 시켜먹다가 요즘은 좀 쉬는중이요ㅋㅋ넘 맛있어요
850019,MDRW2100001381.1,네ㅜㅜ,오빠선착,해쏘,4행시?
1146264,MDRW2100001641.1,"존나 빡쳐,, 왜저래 시바",보내봐봐 제가 잘못알고있는거냐고,"ටㅏ 됐어,,",아님 점장한테
412451,HuLiC8744,오 이거 8점때 영화네,ㅋㅋㅋㅋ 8점이면 낮은데?,관객수가 2만인데?,생각보다
182878,HuLiC3446,"확실하지는 않지만, 요가는 해보실 수 있을 거예요. 그것은 마음을 딴 데로 돌릴 수 있는 좋은 방법입니다.",요가를 지금 하면 잠이 더 잘 올 거 같아 ㅋㅋ 아니면 커피를 마실까?,커피는 하루를 시작하기에 좋은 방법입니다. 요가는 몸과 마음에 좋습니다.,커피를 지금 시간에 마시다가 밤에 잠이 안오면 어떻게 하지?
350065,HuLiC7304,,이제 슬슬 뭔가를 만들어 먹어야 할꺼 같아,그것 참 좋은 생각인 것 같군요. 당신은 무엇을 만들 건가요?,스파게티를 만들어 먹을까 생각중이야
1651413,MDRW2100035421.1,그게 흑임자에요,이름도 까묵었어 아 그래요?,루프탑 그레이 라떼,홀
932575,MDRW2100001526.1,좋은거니 왜그러지 싸서그런가보다,ㅇㅇ 당근마켓애가 오늘 안댄다네 걍 와야겠다,그래 취소 다시한단건 아니지 집에 갖다놔도 대지,주말에 온대 집앞으로
1725966,MDRW2100040942.1,그냥 몸을 움직이는 걸 좋아해서 운동장에서 뛰놀 수 있는게 좋았어요,달리기도 굉장히 잘 하셨겠어요! 막 계주선수도 하시고 그러셨던거 아니에요?,시골출신이라 선수까진 아니고 학교에서 운동회같은 거 하면 계주 자신있었죠,진짜 부러워요!! 저는 뛰고 있지만 장 애 물 달리기 하면 저는 매번 다음 주자들이랑 같이 들어갈 정도로 달리기를 못해요
1072743,MDRW2100001602.1,안그래도 하겐다드머거쪄,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 말안해도 이미 빠르구나 가족들거는 사떠?,커플티 하나샀숩니당 가족들꺼 쪼꼴릿으로 퉁쳤더 name2카드썼져,웅 떴당 해외승인이라길래 순간 오 내가 직구한게 또 있었나 해따
218195,HuLiC4260,난 그렇게 생각 안 해요. 그래요?,그럼~~ 달에는 토끼가 살아. 낄낄,당신은 어떤 일을 하세요?,나는 대학생이야ㅋㅋ
1142035,MDRW2100001640.1,여깃서^^ 이모티콘,아 맛잇뎃가 새우랑 비프를 둘 다 잡았노,야 맛있드라 추천~~!! 물롱 쿠폰 안 주면 고려해봐라!,ㅠㅜ 얼만데쿠폰주면ㅋㅋㅋ
622132,감성대화말뭉치.6620,나 자신에게 너무 실망했어.,자신에게 실망하셨군요. 무슨 일이 있으셨는지 말씀해주시겠어요?,오늘 아들에게 손찌검했어. 참았어야 하는데 못 참았어.,아들에게 손찌검한 자신에게 실망했군요. 이 상황을 어떻게 마무리하면 좋을까요?
216672,HuLiC4225,당신은 요가를 해본 적이 있나요? 아주 편안할 거예요,"해 본적이 있지. 편안하진 않던데, 사실 아주 힘들더라고.",그녀도 그렇게 말씀했어요.,갑자기 '그녀' 가 누구야? 너의 파트너? 챗봇 이루다인가?
655335,MDRW2100000053.12,여보 심시매,맞낭 ~~ ㅎㅎ,여보~ 지금 나가는중~~,옹옹 ㅎㅎ 조심히 와용 ㅎㅎㅎ
