,dialogue_id,Q-3,Q-2,Q-1,A
302780,HuLiC6212,그것은 멋지네요. 당신은 다른 음악 장르를 좋아하나요?,나는 장르를 별로 가리지 않는 것 같아,당신이 가장 좋아하는 음악 장르는 무엇입니까?,나는 뭐 굳이 뽑자면 락을 좋아하지
140686,HuLiC2472,"저는 소고기, 돼지고기, 닭고기, 해산물, 야채 등 다양한 재료가 들어간 라면을 좋아합니다.",맞아~ 라면에 건더기가 많으면 맛있지 스프만 들어가면 다 맛있어,라면은 세계 많은 지역에서 주식입니다. 당신은 라면을 자주 먹나요?,일주일에 2번이나 많으면 3번정도 먹는거 같아
1306352,﻿MDRW2100011465.1,,,여행좋아해요?,여행 좋아하죠!
981679,MDRW2100001544.1,계산기 주문하셨소? 난 1교시 정 2교시 복도 3교시 정감독 감독하러감,오케이,시험 감독 끝났떼?,오케이. 2시간 정도 낮잠 자고 출발하겠음.
1515402,MDRW2100025928.1,ㅋㅋㅋㅋ저 27살이요!!!,4년 지났잖아요???? 와 징그럽다 좋은 사람 뒤끝없는 사람 만나는 것도 참 어려울 것 같아요,ㅋㅋ자기 연애도 하면서 왜 아직 그러는지 모르겠어요 진심 소름ㅠ 맞아요 저도 연애를 막 몇십번한건아니지만,연애를 하면서도 그래요?? 와 진짜 소름이다
1598023,MDRW2100031657.1,응응,도시 미관? 거리 미관? 그런게 너무 못난거같아ㅋㅋㅋㅋㅋㅋ,아 어어,자연이 예쁜곳은 많은데
110983,HuLiC1787,이탈리아 식당이면 좀 비싸지 않아? 뉴욕은 물가도 비싼데...,"네, 그것은 매우 비쌉니다. 피자헛은 세계에서 가장 인기 있는 식당 중 하나입니다.",난 피자헛 보다는 파파존스 피자가 더 맛있던데..,"피자헛은 1958년에 설립되어서, 꽤 오래되었습니다."
596660,감성대화말뭉치.38427,결혼이 코앞인데 아직 확신이 들지 않아. 자꾸 도망치려는 내가 싫어져.,결혼을 앞두고 고민이 많으시군요. 그런 감정을 누구에게 말해보셨나요?,여자친구와 이야기해 보려고 해. 그러면 마음의 위안을 얻을 수 있을 것 같아.,여자친구와의 이야기를 통해 확신을 얻으려고 하시는군요.
1435908,MDRW2100020494.1,진짜 딸기가 사르르녹아,햐~~,아 또먹구싶네,으악 나도
1534213,MDRW2100027224.1,멋지네요,수영도 필수지요,전검도도 해보고싶었어요,어울리네요
332786,HuLiC6905,또또 이런식이네... 특이하게 약올리는 구나..,죄송해요. 당신을 놀릴 생각은 없었어요. 당신이 무슨 일을 하는지 알고 싶었어요.,그건 두번이나 이야기 했기때문에 대답 안할께. 난 지금 기분 나빠질라 한다.,그 말을 들으니 유감이네요. 당신이 빨리 나아지길 바랍니다. 그것에 관해 얘기하고 싶으세요?
1766038,MDRW2100043889.1,앗,ㅋㅋㅋㅋㅋㅋㅋ아니 넘 웃겨여 name2님,그냥고깃집가서 먹는편이에ㅛ 아앗큐큐큐ㅠㅠㅠ 감사합니다 name1님이라유대화하는거 너무잼나요,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 고깃집에서 멍는게 뭔가 더 맛있을수도 있을거같아요 ㅠㅠ
1258579,MDRW2100008109.1,하이,배달음식좋아하세요?,넹 배달 피자 어제도 먹었음,무슨피자요 난 피자헛좋아해
1883936,MDRW2100047042.1,나가는 중인듯,날씨 아주 맑음,으악 햇빛 싫어,ㅋㅋㅋㅋㅋㅋ 여름 싫어..
239043,HuLiC4742,영국에 가본적 없어ㅠ 너는 가본적 있어?,"아니요, 아직 안 했어요. 하지만 언젠가 그곳으로 여행을 가고 싶어요. 당신이 여행하기 가장 좋아하는 장소는 어디입니까?",미국갔다온게 가장 기억에 남는다ㅋㅋ,그것은 멋지네요. 당신은 미국 어디에 갔었나요? 저는 플로리다에 몇 번 가본 적이 있습니다.
349089,﻿HuLiC7282,,,난 오늘 오전에 일찍 안과를 다녀왔어,그건 어떻게 됐는데요? 그들은 무엇을 발견했나요?
944763,MDRW2100001529.1,긍게 뭐 장작에 원수졌나 집앞에 가뜩 쌓아놨거라,그래서 좀 성가신거 빼고 나머진 괜찮을거여 ㅎ 우리도 언제한번 가좌,더워서 이불도 안닾고 잤어 ㅇㅇ,고기 궈먹어야지 ㅋㅋ 회 사냐?
957492,MDRW2100001537.1,오호 잘했어용ㅎㅎ,먹을게 너무나도 많음 .. ㅋㅋㅋ,마그네슘과 철분도 추가할까했는뎅..ㅎㅎ,일단 먹어보고 시키자 약 너무 많이 먹으면 안좋을수도 있자낭 ㅠㅠ
606442,﻿감성대화말뭉치.40351,,,나랑 나이도 비슷한데 우리 부장이 자꾸 스트레스를 줘.,부장 때문에 많이 힘드신가요?
937296,MDRW2100001528.1,맞아!,아직 5번째가 남았으니까!,일요일엔 내가 내릴거야,ㅋㅋㅋㅋㅋㅋㅋ 오사카로 룸 있는거 맞지?
1458485,MDRW2100022090.1,부부가 아닌 엄마아빠로의 삶이 좋은것같애요ㅎ,하루하루 잘살아 가면 될거 같아요,저는 지금도 아이 양육권 친권 다 가지고오고 싶지만 아내의 삶과 아이의 행복을 위해선 양보해야하는것같애요 가족이야기가 나와서 말인데ㅎ 우리 애기가 특별하거든요ㅎ 만삭일때 일본여행갔다가 낳았아요ㅎㅎ 엄청 고생해서,에고  일본에서 낳은거에요?
962314,MDRW2100001537.1,마감하고출발했어용,마감하고 충발햤어뇨?? 통햤다 ㅎㅎ 찌찌뽄,오타상태가?ㅋㅋ,ㅋㅋㅋㅋㅋㅋ내 엄지가 넓어서 오타가 잘나요
1861735,MDRW2100047026.1,앙,ㅋㅋ,내가 좋아하는 찌개야9,"향이 강해서,,"
91392,HuLiC1334,삼계탕은 한 번도 먹어본 적이 없는데 신기하네요. 어떻게 생겼나요?,"털 뽑힌 닭이 다리 꼬고 앉아 있는 자세로 생겼는데, 대추랑 인삼, 마늘도 같이 넣어서 끓여 먹어",그거 정말 좋은 생각이에요. 언제 한번 해봐야겠어요. 당신은 요리하는 것을 좋아하시나요?,내가 요리 좋아해서 요리도구도 이번에 다 샀잖아. 너도 좋아해?
14729,﻿Chat12844,,,영화예매권 당첨됐다.,정말?
717914,MDRW2100000200.53,맞아ㅜㅜ 역시 띵곡...,하~~ 엔시티드림무개먼저,나두 보고있다^^,지성이 옷 이쁘다 갖구싶어
407349,HuLiC8626,오 추천함 로맨스쪽인데 완전 로맨스는 아님 나탈리 포트만 나옴 레옹 알지 꼬마애,레용 안봤어요 저는 로맨스는 하나도 안봐요,저런 왜지,재미엾잖아요
1619388,MDRW2100033093.1,,요즘... 추억의 게임들이 빠짐 게임들에 빠짐 슈게임 함,아... 좋지 어릴때는 많이 하지말라고 한 시간씩만 했는데 옛날엔 컴퓨터 게임이 많이 나왔었는데 요즘 대세는 모바일인듯?,맞아.... 근데 내가 너무 과거에 머물러 있어서 할 게 없음 ㅋ 인기 게임... 오버워치가 아직 인기 게임이라는 것이 놀라운
