,dialogue_id,Q-3,Q-2,Q-1,A
1254444,MDRW2100007814.1,어릴 때 도시락 배달 했던 거요,오오 신기한 봉사활동이네요,독거노인댁에 배달하는 건데 할머니가 엄청 기다리시더라고요,완전 보람찼겠네요!
1876580,MDRW2100047035.1,2-3일에 한번씩은 약간 의무감에...? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 크로플에 위즐 아이스크림 얹어먹으면 짱맛있ㅇ더,난ㅋㅋㅋㅋ오늘 베라ㅋㅋㅋ 그때 크로플에 얹어 먹는다고 위즐류 아스크림도 3종류 사왔어ㅋㅋ 바닐라 초코 딸기ㅋㅋㅋㅋ,오 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
740364,MDRW2100000274.7,앞베란다에 내놨던 짐이 제자리로 가고있어요,내일 신랑이랑 같이 치워요ㅜ,ㅋㅋㅋ 수영복을,버릴거도 많이 나왔어요?
1747230,MDRW2100042510.1,예능으로 떠도 상관없죠. 뜨면 되니ㅋ,그 다음해 사극 구암허준에서 마지막 조연인가,그 뒤로 안 나왔나요?,드디어 주연을 한다
117718,HuLiC1942,안타깝게도 난 그날 출장 중이었기 때문에 현장에 없었지. 그래서 확인하려 하는거야.,좋은 생각이에요. 무슨 일이 일어날지 모르잖아요 저는 모든 것이 괜찮기를 바랍니다.,내 생각엔 자네들이 전수 조사를 한 것이 아니라 한 로트만 선정해서 샘플링 검사를 한 거 같은데. 내 말이 맞나?,당신 말이 맞는 것 같아요. 경찰을 불러서 제가 할 수 있는 일을 알아보겠습니다.
51004,Chat5500,,애인이랑 눈싸움하면 정말 좋겠다.,맞아. 추운것도 잊을꺼야.,당연하지 얼마나 좋을까.
1739326,MDRW2100041929.1,몸 아프시면 운동 조심히하세요 ㅜ,네ㅋㅋ그래서 수영다녓엇고 피티는 받아보고싶어서생각중이에여,수영 재밌겠어요:),네ㅋㅋ이시국이라 못간지 2년 넘엇어여 흑흑
1205811,﻿MDRW2100004547.1,,,안녕하세요ㅎ 혹시 게임좋아하세요?,요즘은 쿠키런 킹덤만 해요!
348011,HuLiC7257,된장찌개랑 김치찌개를 팔고 있어.,맛있을 것 같아요! 마음에 드세요?,내 마음에는 드는데 장사가 안되네..코로나 탓인지 손님이 줄었어.,그 말을 들으니 유감이네요. 곧 다른 직장을 구할 수 있을 것 같아요?
1498594,MDRW2100024761.1,증원해주신대요ㅋㅋㅋ,ㅋㅋㅋㅋㅋ 그렇군요 해줘야지... 고분자도 못들으면 졸업 어떻게 하라고..ㅜ,진짜요ㅋㅋㅋㅋ,내일 꼭 잡으시길 바라요!!
340414,HuLiC7081,니가 날 놀렸지 내가 언제 널 놀렸니? 웃기는 애네..,놀리는 게 뭔지 모르는 것 같아요.,아 우리 다른 이야기하자 이거 끝이 안날것 같아.,왜 그렇다고 생각하나요?
666511,MDRW2100000081.22,안싸운다 우리는ㅋㅋㅋㅋ,엄마는 서울여자라 두산이나 엘지좋아하고 나는 경기도사람인데 기아팬임ㅡㅡ 나만이상한 사람ㅋㅋ,변절자다!!!!!,아자씬 충청도사람이나 한화ㅋ 그니깐 밥묵고와 나도 뭐좀 먹어야겧다 더 늦기전에
926828,MDRW2100001524.1,직업? 블로그에서 해석해준거로 직업 본거야 기다려바 너 뭐나옴? 헐 얌얌 읽씹,힣 미얀 무슨,힣은 무슨,외교관나왔어 근데 나랑안맞는것사태
1629072,MDRW2100033743.1,발명걸 알지 너도 발명걸 알아?,응응 그 유투버 너무 재미있어,폐자원으로 신기한 걸 많이 만들어내는 유튜버야. 아 아는구나!,광고영상인데도 웃기게 만들어 무슨 과를 다니는 걸까
1739950,MDRW2100041978.1,아항,사당까지는앉아서가는데 그이후가문제.... 2호선,으어어 듣기만해도기빨려,ㅋㅋㅋㅋㅋㅋㅋ 배고프다:Q... 퇴근길지하철싫어요
1496022,MDRW2100024593.1,ㅋㅋㅋㅋㅋㅋㅋ 요리의 순기능 이네요...! (?) 오늘 저녁은 오믈렛이에요! 벌써 기대가 되네요 ㅎㅎ,오! 오믈렛 맛있죠 저는 저녁으로 번데기탕 먹을 거 예요ㅎㅎㅎ,"번데기탕 어렸을때 참 좋아했는데 ㅎㅎ 뚝방가면 다슬기랑 뻔데기, 아이스크림 파는 분한테서 꼭 사먹고 그랬어요",아ㅋㅋㅋㅋㅋㅋㅋㅋ 뻔데기 먹는 건 국룰이죠
1084252,MDRW2100001611.1,구랭?! 지금 용인시장 지나가구이쒀 이제 버스내린당!,오!!!! 나 배고파.. 뭐 먹지.. 뭔가 밥인데 간단하게 먹을 수 있는 그런 뭐가 있지... 김밥..?,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 김밥 먹으러 갈깡..?! 브리또랑 김밥밖에 생각이 안난당..,조화관 밑에 한번 내려가보쟈 그 지하에 팔거든?? 아직까지 파는지 모르겠지만 일단 나 버스타기전에 먹어야될것 같아..
1077466,MDRW2100001607.1,,히히,그러나 저는 현재 전자담배가 망가져서 짜증이 나있는 상태입니다,아? 왜!
1912067,MDRW2100047064.1,우린 라면,난어묵국,일기쓰자,일기쓰기해보자
1145985,MDRW2100001641.1,"오늘의 1식,,",목어도돼,ㄱㅅ~!,오늘안불리고 삶다가ㅔ 존나오래삶아야돼 그럼
1114333,MDRW2100001625.1,5장빡고수가 6장모를리 없음 ㅅㅈ name1좌:찍,name11회로 평균이하임,연막탄쉑 아닌거알아,전자회로 80점대가 더 연막임 진짜 나쁜넘아
743313,MDRW2100000287.24,ㅋㅋㅋ 그래서 학교에서 전공도 해찌,이제는 시먹는게 더 좋지?,응 사먹는게 다좋아 ㅋㅋ,사먹는게 더 맛있지???
353132,HuLiC7375,거기 간다면 아무것도 안하고 바다를 보고싶어.,좋은 계획인 것 같네요! 당신은 어떤 종류의 바다를 보는 것을 좋아하나요? 바다를 좋아해요. 좋아요,바다는 다 좋은거 같아. 여름도 좋고 겨울도 좋아,당신은 어떤 일을 하세요? 저는 작가입니다.
1124523,MDRW2100001635.1,불보듯 뻔하잖아잉! ㄱ럼 그냥 12위 결정전이잖앙!! 유ㅏ바,ㅋㅋㅋㅋㅋㅋㅋ 'ㅁ'!!,0.0 1 !,유봐봐!!!!!!
1873626,MDRW2100047034.1,뭘하다 자지 그냥 자기 아까운데,휴업... 허러허,^___^ 행복한데 벌써 끝날까두려오,시작도 안했지만ㅋㅋㅋㅋ
1637037,MDRW2100034333.1,약간 철판? 돌솥판?같은데에 밥깔아서 누룽지같이만들고 치킨은 전기통닭같은거?!?! 나오더라고용,헉 전기통닭도 너무 맛잇죠!! 누룽지통닭..메모..,고기보다 밥을 더 긁어먹었네요ㅋㅋㅋㅋㅋ 치킨 부위중에 최애 부위는 어디에요?!?! 저는 날개,저는 아묻따 다리입니다 ㅎㅎ 다리살아니면 치킨도 안먹는 고고함을 가지고있죠
1125953,MDRW2100001635.1,팔에 줄보고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ냥!,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅅㅍ ㅇㅈ 엇! 너네도 커피먹니???,ㅜ머야! 배달안와서 사러가는거야!!!!?!? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅅㅍ
1373421,MDRW2100016108.1,어 ㅋㅋㅋㅋㅋㅋ 원 계속 거울보면서,나름 아빠의 큰그림 ㅋㅋㅋㅋ,싫다고 ㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋ이제 그런거 알 나인데~ 며칠 지남 좀 풀릴껀데~
1864494,MDRW2100047028.1,나는 배 탓엇어 엄청난,오호,에메랄드색,좋앗어?
1796823,﻿MDRW2100046140.1,,,ㅎㅇ,나 어제 하루종일 청소했어
1939419,MDRW2100047094.1,나 바로집에갈께,아근데 아빠 자꾸 내 밥,짜파게티,ㅈㄴ탐네네
18338,Chat13529,아니 내가 무슨 말을 하겠어.,불만사항같은거 $Theme하는거 아니야?,다른 사람들이 하겠지.,주인의식이 없으니까 발전이 없지.
366082,HuLiC7674,둘이 서로 협력하면 되겠구만?,ㅋㅋ 경찰하고 깡패가 협력하면 좀 그렇지 않냐??,그래도 서로 잡고싶어 하는 놈이 같으니까,사실 둘이 협력해 ㅋㅋ 서로 니즈가 맞았으니까
1932563,MDRW2100047085.1,응 뢔?,재결제에 쓰려고했어ㅏㅛ엌ㅋㅋㅋㅋ 재결제 인생이거든,오ㅔ그러니,큼모교육받아서그랰ㅋㅋㅋ
1045360,MDRW2100001592.1,어이어이!!!!!!!!!!!! 먹거!!!!!머그라구!!!!!! 먹어!!!!!!!!!,그래...무엇을!!무엇을말이야!!,뿌....... 으음 취킨~ 음|~~~~취킨,탈락!! 탈락사유:무성의
1184108,﻿MDRW2100003017.1,,,여행을 자주 가시나요,코로나 이후에는 별로 가보지못했어요ㅠㅠ해외나가고싶네요 기억에남는여행지있으신가요?
862025,MDRW2100001383.1,5개 나 먹을게 줄어든다...,아악다퍌아야햬 여보개망,괜춘해 ㅎ 내가 먹음 돼,지에스는? 그것도갈꺼니 예다음
1748120,MDRW2100042570.1,ㅇㅇ걍 적절한 여초코인과 착즙과 그 우리가 공격받는다 할때 뭉치게되는? 그거가 잘 맞물려서 살아남은듯,ㅇㅇ 로미오와 줄리엣 증후군 느낌 ㅋㅋㅋ,아ㅎ 뭔 증후군인지 모르지만 알겠네,냅둿으면 걍 적당히 사귀다 헤어졋을 애들을 자꾸 땔감 넣어서 천년의 사랑 하게 만드는...
1093286,MDRW2100001616.1,있어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 립밥만 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,립밥만 달라고? ㅋㅋㅋㅋㅋㅋㅋ 그냥 저거 바로 언니야집으로 배송함,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ알겠다,입력 완료 ㅋㅋㅋㅋ 와씨 똑같은걸 받을줄이야 ㅋㅋㅋ
1330169,MDRW2100013180.1,안녕하세요 name2은 해외여행 다녀온 경험이 있으신가요?,네 베이징이랑 대만 다녀왔습니다! 여행 다녀오셨나요?,저는 프랑스 스위스 이탈리아 패키지로 다녀온 적 있어요 ㅎㅎ,오 어느 나라가 제일 기억에 남나요?
266900,HuLiC5385,"네, 컴퓨터가 두 대 있어요. 하나는 광업용이고 하나는 게임용입니다.",채굴용 컴퓨터는 전기를 많이 사용한다던데 전기요금이 많이 나오지 않아?,"네, 비용이 많이 들긴 해요. 당신은 다른 취미가 있나요?",취미는 따로 없고 부업을 하고 있어.
1396176,MDRW2100017721.1,축구게임이군요,네 맞아요재밌어요ㅎㅎ,그것도 캐릭터 선택하는게 있나요?,팀을 선택합니다ㅎㅎ
521456,감성대화말뭉치.2371,오늘 친구가 날 때려서 많이 놀랐어. 근데 나는 그 애에 비해서 너무 부족한 사람인 것 같아.,친구가 때려서 많이 놀라셨군요. 좀 더 자세히 말씀해주시겠어요?,친구랑 같이 무거운 짐을 옮기다가 실수로 놓쳤거든. 짐이 친구 발들에 떨어져서 날 때렸어.,많이 놀라셨겠어요. 어떻게 해야 이 상황을 해결 할 수 있을까요?
287553,HuLiC5862,어디갈지 아직 정하지못했어. 고민중이야.. 처음 여행갔던 곳을갈지. 아니면 처음 가보는곳이 좋을까?,내가 당신이라면 하와이에 가겠어요. 그곳은 방문하기에 좋은 장소입니다.,나도 하와이 너무 가고싶지만 코로나때문에 외국 여행은 지금 불가능해...,그 말을 들으니 유감이네요. 당신은 미래에 여행을 할 수 있을 것 같습니까?
1343514,MDRW2100014078.1,그거 영화인가 드라마 나오는거ㅠ아세용??,헐 어디요?!!,아직은 안나왔는데 김풍작가님 그동안 준비하시던게 그거 시나리오 셨대용!,아아아 옾카페가 나오는줄알았어요ㅋㅋ 와....웹툰보던 그때의 짜증이 다시 밀려와요 ㅋㅋㅋㅋ여친 스타일 첫사랑 스타일로바꾸곡
1522337,MDRW2100026415.1,네 실용성이 좋아요 실용성 있는 콜라보 제품이 좋더라구요,네~요즘 콜라보 제품이 많은것 같아요,아무래도 인기가 있으니까 그런 것 같아요 다양한 분야에서 하더라구요,네~~ 과자도 콜라보 하는거 봤는데 곰표랑 했던것 같아요
278396,HuLiC5650,"전공을 살릴생각은 별로없어, 그냥 내가 잟할수 있는 일을 하고 싶어",그렇게 보는 것도 좋은 방법이에요. 당신은 전공을 어떻게 할 계획인가요?,내 전공으로 공부한 사람은 너무 많기 때문에 경쟁력이 없어. 너는 어떤 일을 하고 있니?,제가 뭘 해야 할지 아직 잘 모르겠어요. 저는 아직 고등학생이라 알아낼 시간이 많아요.
1361405,MDRW2100015271.1,저한텐 약간 고문같아요ㅋㅋㅋ 햇님님 케이크 드시는 건 진짜 대리만족 되더라고요,맞아요 엄청 크게크게 먹잖아요 ㅋㅋ 쯔양도 유명하죠!!,그쵸 전 잘 안 봤는데 진짜 많이 드시더라고요,먹방말고도 유튜브 보면 재밋는거 많이 올라오드라고요
757536,MDRW2100000802.1,부모님 걱정하실까봐 말못했나보더라구요,가족들이 피해볼까봐 더 숨기기도 했더라구요,그랬구나 진짜 내자식이 가해자나 피해자가 되면 어찌해결해야하나 고민많이될거같아요,학교폭력없는 세상이 오겠죠
46644,Chat469,,스키선수들은 안무서울까?,뭐가 무서워?,높은곳에서 내려오는거 말이야.
127490,HuLiC2167,그렇지..먹는 건 좋은데 요리하는 건 좀 번거로워..특히 혼자 살면 더 그럴꺼야.,혼자 사는 것도 아니고 룸메이트도 있는데 요리하는 것도 싫어해요.,요리하기 싫어하는 사람이 있지..사서 먹는게 편하기도 하고 ㅋ,맞아요. 저는 그저 그것을 배울 의욕이 없는 것 같아요.
1569380,MDRW2100029647.1,몇개받았죠,뭘눌러도 꼭 하나만 걸리네요 색을 분명 매번,좋은거받았나요,다르게 눌러도
1953118,MDRW2100047101.1,그냥 쓰는말 ㅋㅋㅋㅋㅋㅋ,아,홍합탕,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1519946,MDRW2100026245.1,맞아요 ㅠㅠㅠ 저도 넷플릭스 결제하고 슬의생 하나 보고 있네요 저는 미드도 좋아하는데 요새는 재미있는게 없어서 잘 안보는 것 같아요,아이고 ㅋㅋㅋㅋ 요즘 디피 재밌다고하더라구요 아...그렇구나 ㅠ 저도 그래요 ㅠ,그거랑 펜트하우스 마라탕 먹는 기분으로 보고 있어요 ㅋㅋㅋㅋㅋㅋ,볼게없어요 아앗..ㅋㅋㅋㅋㅋ
161587,HuLiC2955,그래서 다시 가져다 주기로 했는데 또 7일 이상을 기다려야 한다고 하네.,"우와, 기다리기엔 너무 긴 시간이네요. 그걸로 뭘 한 거예요?",일단은 그 촌스런 민트색 커텐을 달아둔채로 생활하고 있지 모야.,그 말을 들으니 유감이네요. 당신이 그것을 없앨 수 있는 방법을 찾길 바랍니다.
800622,MDRW2100001225.87,,기다려 봐 찾는중 무엇이든 물어보살 프로에 나왔던건데,응,34세 남이 이혼하고 알콜의존증 생긴 사연이거든! 혼자 아이를 키우는데 맨날 소주 4병씩 마신다는고야.. 일주일에30병 마신대 잘못된거 안다며 자꾸 회피하길래 서장훈 왈! 아이는 무슨 죄? 너의 꿈은 단명임? 그럴거면 여자도 만나지 마. 어차피 일찍 죽을건디 사연자 왈. 왜 나만 이렇게 힘들게 살아야 하는건지ㅜ (신세 한탄)
972711,MDRW2100001541.1,아 맞아! 채으ㄴ이한테 그 카드 그거,라는 글을 쓰려고 했는데,당하고 싶음,내용이 넘 짧고
555393,감성대화말뭉치.30347,,우리 신랑이 아직 젊은데 실직했어 그래서 충격받았어.,아 갑자기 힘드셨을 수 있었겠네요.,신랑이 아직은 좀 더 활동을 해야 아이도 학교를 보내고 돌볼 수 있는데 걱정이야.
