,dialogue_id,Q-3,Q-2,Q-1,A
570178,감성대화말뭉치.33236,내가 뿌린 축의금을 못 거둘까 봐 불안해서 그렇게 했어. 아들은 화가 난 것 같아.,결혼식을 재촉하는 것 때문에 아드님이 화나셨군요. 아드님은 무엇을 원하는지 물어보면 좋겠어요.,아들은 정말 무엇을 원하는지 안 물어봤네. 밥 먹으면서 얘기를 나눠봐야겠어.,아드님과의 대화를 통해서 서로의 진심을 잘 이야기해서 갈등이 없었으면 좋겠어요.
681312,MDRW2100000103.289,근데 난 초딩은 싫어 ㅋㅋㅋㅋㅋ,초딩 골치지,애기만 좋고,특히 초딩남자애는..어휴
1215248,MDRW2100005188.1,간짜장 말고 또 어떤 거 좋아하세요??,저는 마라탕 좋아해요!,엇 저두요! 매운 걸 잘 못 먹어서 순하게 먹긴 하지만 ㅎㅎ,저도 맵찔이에용 ㅎㅎ
1069909,MDRW2100001600.1,아원츄 종강.업 종강종강조ㅗㅇ강업 종강종강종강업,아원츄 아원츄 원츄  대디네 동생이네,엥,종머 사촌이래 난 또 뭔가 함
237679,HuLiC4710,그거 좋은 운동인 것 같네요. 당신은 운동할 때 어떤 음악을 듣나요?,신나는 댄스음악을 들어 운동할때 음악은 중요하지,맞아요. 운동할 때 가장 듣기 좋아하는 음악의 종류는 무엇입니까? 저는 팝뮤직입니다.,난 아이돌 댄스음악들어 빠른리듬 노래를 들으면 운동할떄 더 오래 할수있게돼
1686433,MDRW2100038062.1,ㅎㅇ,나 오늘 첫 출근했어,아 맞다 어땠어,내가 간대가 정부대학원이잖아
1341687,﻿MDRW2100013954.1,,,안녕하세용,안녕하세요 가족과함께 사시나요?
1642296,MDRW2100034728.1,소개팅 해보셧나요,아니요..,데이트 해보셧나요,아뇨!
1237198,MDRW2100006685.1,피자몰은 니가 피자 좋아하니까 자주갔지,오빠도 맛있게 먹었자나ㅋ 리조또 폭풍흡입했잰ㆍ 했자나ㅋㅋ오타보시게,리조또늘 맛있었지 근데 피자몰에서도 무슨일 있지 않았었나?,아 홍대점에서... 스프에서 바퀴벌레 더듬이랑 다리 같은거 나왔잖음!!!!!!
981559,MDRW2100001544.1,아무래도 그래야할 듯.. 저녁 뭐먹을거데?,"맥주에, 고기에, 보쌈 김치?","무슨 고기? 삼겹살, 목살? 나는 고기 굽고 오빠는 그 시간에 티비봄? 함께 식사를 준비한다면 생각해보겠음.",함께 식사를 준비합시다.
