,dialogue_id,Q-3,Q-2,Q-1,A
193630,HuLiC3694,으응 난 평생 안드로이드만 써왔어,어때요? 나는 삼성 갤럭시 S7을 가지고 있는데 매우 좋아합니다.,난 안드로이드가 좋아! 일단 기능이 다양하고 편리해!,저도요! 스마트폰으로 여러 가지 일을 할 수 있다는 사실이 너무 좋아요.
555672,감성대화말뭉치.3040,,이번에 아들 성적이 말도 안되게 떨어져서 스트레스받아.,아들의 성적이 떨어져 스트레스를 받으시는군요. 성적 하락의 원인이 무엇이라고 생각하시나요?,모르겠어. 통 말을 하지 않으니.
798839,MDRW2100001225.118,뭐가 뭔지 후음,근데 그때만남보다 지금 시기에 만나는게 난 더재밌음 더 농익은 느낌이야,맞아ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 현재와 미래를!,코드도 맞는건 있어서 거기에 따라 즐거움이 훗 너 참 그만 나 놀려라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1080787,MDRW2100001609.1,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그치그칭 당장 어제만해도 그랬자낭~,"ㅋㅋㅋㅋ마쟝 나 강릉 안간댜!!! 안간대,,,,,,",읭?? 갑자기?? 왜 갑자기 취소됐엉?!,ㅋㅋㅋㅋㅋ만나면 말해줘야징~~ 힝 날씨좋아ㅠ 피자먹고싶다 치킨두 교촌치킨
1786029,MDRW2100045363.1,그러게 둘다 시험일이 다가오고 있어ㅜㅡㅠ 한동안 우중충 했으니 추석부터는 맑고 선선한 날씨면 좋겠는데,토익은 못 볼것 같으면 10월로 미룰것 같지만 700점을 목표로 잡고 있는데 문법에서 안 넘어가 ㅋㅋ,문법은 평생해도 어려울 것 같애ㅜㅜㅜ 학기 중엔 힘들 수 있으니 방학때 따는걸 추천하지만!,그니까 나 방학 때 뭐 했지 뭐한걸까
1258889,MDRW2100008132.1,떼지어 다니는 걸 볼 수 있었어요,장관이네요,그래서 다시 가고싶더라구요,추억이 좋았나보네됴
42360,﻿Chat3821,,,김밥집이 너무 많지 않아?,장사가 되나보지.
123035,HuLiC2064,인셉션은 좋은 것입니다. 저도 Sci-Fi 좋아해요. 좋아하는 작가 있으세요?,베르나르 베르베르 소설은 읽어봤니? 그 작가는 천재야,그의 책을 읽은 적은 없지만 그에 대해서는 들어봤어요. 당신이 그의 책 중에서 가장 좋아하는 책은 무엇입니까?,신 이라는 소설을 좋아했어 마지막 부분에선 소름이 돋았지 처음 읽어본 장르였는데 재밌었어
1215339,MDRW2100005194.1,멘탈리스트 보시네,오~ 외국드라마 맞지,어 외국드라마 많이 보는편,추리물이라고 해야하나 시리즈물
1101772,MDRW2100001620.1,링크주나,"name2님이 고객님에게 [페이프로토콜 월렛 앱]을 추천하셨습니다! 앱 가입시 리워드 코드만 입력하시면 편의점, 카페 등 다양한 가맹점에서 바로 사용하실 수 있는 10PCI혜택을 드립니다! 친구와 함께 페이프로토콜 월렛의 즐거운 혜택을 받아가세요! 리워드 코드:num 도미노피자, 세븐일레븐, 달콤커피 등 전국 가맹점에서 월렛 앱으로 페이코인의 첫 결제를 경험하세요! 아니다",다시나왔다ㅋㅋ,이게만약에 가입할때리워드코드에 적는거면이건별로야
1332180,MDRW2100013322.1,전 더위가 넘 약해서 차라리 겨울이 좋아요,아 전 반대로 겨울에 약한데 ㅎㅎ 근데 겨울 특유의 분위기는 좋은거 같아요,설경도 멋지고,그쵸 눈오면 뭔가 낭만적인 느낌나서 좋아요 ㅎㅎ 걸을땐 불편하지만
