,dialogue_id,Q-3,Q-2,Q-1,A
761800,﻿MDRW2100001025.91,,,나 나시원피스 왔는데 절대못입어 ㅠ 나돼지였던데,왜 그냥당당히입어!
1291928,MDRW2100010422.1,안녕하세요 봉사활동 다니시나요?,아니요 name1님은요?,저는 다녔었어요 지금은 아니지만요,어떤활동 하신거예요?
1493671,MDRW2100024432.1,오오 저도 얇은 가디건 하나 사고 싶어서 쇼핑몰 돌아다니는 중이에요ㅋㅋㅋ,오오!! 예쁜게 너무 많아 못고르겠어요ㅠ 찜해두신 거 있으세요?,넵! 전 로엠에서 맘에 드는 가디건이 있어서 장바구니에 담아뒀어요ㅎㅎ 요즘 세일 많이 하더라구요!,오오ㅋㅋㅋ 명절이 가까워져서 그런걸까요? 세일하는곳이 꽤 있는거같아요
1385310,MDRW2100016944.1,식이조절중이세요?,네...아마도요 ㅠ 냉동실에 엄청많아욬ㅋㅋㅋ ㅠㅠ 사실 아까 빵먹어서 저녁으로 닭가슴살 먹으려구욬ㅋㅋㅋ큐ㅠ,오 어디 브랜드 드세여?,지금은 맛있닭 스팀 먹고있어요! 지금은 맛있닭스팀 먹어요!
290368,HuLiC5927,왜요? 당신은 무엇을 하는 것을 좋아하나요?,커피 마시면서 친구들과 얘기 하는 거 좋아해. 요즘은 잘 못하지만.,취미가 뭐예요? 저는 독서를 좋아해요.,그렇구나. 난 그림 그리기가 취미야.
1317078,MDRW2100012266.1,마자요 엠티이런것도 못가고ㅠ,요즘도 그냥 사이버강의 들어요?,지금은 방학이에요ㅎㅎ,아하 ㅎㅎ 좋겠당 방학 어떻게 보내고 있어요?
75426,new_chat.25,나도 하루 빨리 해결되었으면 하는 바램이야.,그래 실력 있는 사람들이 인정받는 사회가 되었으면 좋겠어.,언젠가는 그런 사회가 되겠지.,맞아 사회는 계속 변하고 있으니까.
498177,감성대화말뭉치.1913,장기 이식을 받기에 돈이 부담되어 약으로 버티시는군요.,돈이 없어서 치료도 제대로 못 받는다 생각하니 너무 억울해.,어떻게 하면 장기 이식을 받을 수 있을까요?,잘 모르겠어. 방법이 없는 것 같아.
668253,MDRW2100000083.51,오늘 6명 또 나온거야? 여기 왜이러니,그니까 갑자기 막 나오네 그나마 오늘은 좀 낫네,참 무섭다ㅜ코로나 마스크 쓰기도 힘들고 점점,여름이라.마스크 힘들어 정말
904533,MDRW2100001514.1,그건 왜 떨어지지,모르지 ㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그거 하는데도 다 돈들겠네 출근 조심해서 해라 ㅋㅋㅋ,ㅇㅋ 다 젖었네 ㅋ
498039,감성대화말뭉치.19103,신입 중에 내가 마음에 안 드는 사람이 있는데 같이 앉아야 할 것 같아서 화가 나.,신입 중에 내가 마음에 안 드는 사람이 있는데 같이 앉아야 할 것 같아서 화가 나는군요. 어떻게 하면 기분이 나아질 수 있을까요?,신입이랑 같이 부장님 옆에 앉았다가 화장실 간다고 빠져 나와서 나중에 다른 곳에 앉을 거야.,생각하신 대로 수월하게 진행되길 바라요.
1593987,MDRW2100031372.1,아..역시 당이 맛을 좌우하네요 ㅠㅠㅠ 정말 융통성없이 노슈가였네요 딸기치즈맛인데도 밍밍하다니ㅠㅠㅠ,ㅋㅋㅋㅋㅋ여기도 제로칼로리 시럽 옵션이 있었으면 좋았을텐데ㅠ 적당히 달면 진짜 맛있을 것 같은 맛이었거든요,와 제로칼로리 시럽 너무 좋은데요,공차처럼 기본 잎차가 아니면 기본 단맛이 있을거라고 생각했던게 오산이었어요 제로칼로리 시럽 도입한 카페는 아직 못봤지만 제 희망사항이에요! 양심의 가책없이 단 음료수를 먹고싶어서ㅋㅋㅋ
696578,MDRW2100000111.130,아 이사람은 처음 봣어요 오늘 집에 가서 봐봐야겟네 전 개네들 잇잖아요 토모토모,어!ㅋㅋ,걍 개네가 젤 부러워요,토모 좋지
1207625,MDRW2100004672.1,저는 뚜렷한게 없어서..일단 정시 준비 중이에요 컴공쪽으로 갈거같긴 해요 빅데이터 분석 이런거에 관심 갖고 있는데..괜찮은 분야인지 모르겠어요,오 괜찮죠 빅데이터 전문가 데이터 사이언티스트 저도 이쪽이에요,오오 근데 10대라고 되어있었던거 같은데 조기입학 하신건가요?,그럼 컴공 말고 소프트 쪽으로 오시는 게 나을 거 같은데 만 나이 때문에 10대라고 나오는 거 같아요 전공 선택하실 때 한 번 고민해보세요 컴공 말고도 데이터나 소프트워어 쪽도 코딩하고 데이터 다뤄요
76622,new_chat.86,아니 아직 못해봤는데.,기회가 되면 꼭 가봐.,응 그래야 겠다. 꼭 가볼께!!,나 일 생겨서 바로 나가봐야 겠다. 뱌뱌~
968824,MDRW2100001541.1,ㅠ,"name1님께서 card-num 계좌로 80,000원을 송금 하셨습니다.",유엔젤,일요일에 만날 때 쓸 돈 빌린거 아니지?ㅎ
1611916,MDRW2100032588.1,,안녕하세요!,반갑습니다 요즘 날씨가 좋았지.않아요??,맞아요~선선해졌죠?
1753343,MDRW2100042944.1,저도 그 오타 많이 써요 ㅋㅋㅋㅋ,저닮았나봐요ㅠㅠㅠㅠ,헐 아쉽네요ㅠㅠㅠㅠ,ㅎㅎㅠㅠ 제 자판이 특이해서 저오타자꾸.ㅠㅠ
721668,MDRW2100000206.14,그래~난 씻는다,넹~난 좀 이따 씻을께요,ㅇㅋ 이따보자,음..약초파는 곳 찾는데 쉽사리 안나온다
1944186,MDRW2100047098.1,샀다 20인치,오우 색깔 예쁜데 자전거 예쁘다 자전거 시승 느낌 어때?,좋아 바구니 달면 만원 추가라서 ㅜ 현금없기도 하고,ㅋㅋㅋㅋ다음에 바구니 필요하면 달면 되겠다 만원추가해서 다는 바구니 저번에 흰 자전거랑 같은 그런 천 바구니야???
208220,HuLiC403,레이싱을 좋아해 잘하지는 못하지만...,레이싱 게임은 정말 재미있어요! 당신은 좋아하는 운전기사가 있나요? 나스카 좋아해요.,음 없어 나스카는 어떤 캐릭터야??,나스카는 스톡 카 레이싱 시리즈입니다. 보는 재미가 쏠쏠해요.
532164,감성대화말뭉치.25796,,간단한 운동도 쉽지가 않네.,운동하기가 쉽지 않으시군요.,전에는 참 꾸준히 열심히 운동했는데 이렇게 의지박약하게 된 나 자신한테 실망스러워.
1637398,MDRW2100034358.1,,깊콘말고는 다른중고거래는 잘안하시는거예용?ㅇㅅㅇ,흠 다른거는.. 아 신기한거 팔았었어요 반올림피자먹으니까 아이유 포토카드 줘서 그걸 팔았어요,악ㅋㅋㅋ그런거좋죠  괜찮네요 맛있는것도먹고 포카도팔고!
984042,MDRW2100001549.1,굳 카페닽은곳에 빵팔면 하나 사오구 잘놀다오셈 출발할때 연락 ㄱ,미일리지 남으면 사라고,? 적립금 다 털어서 산거,잘했다 케익값보냈다 세제값도 고
1858331,MDRW2100047025.1,좌 하 운동하기시러억 우우,ㅋㅋㅋㅋㅋㅋ 할 수 있어!!,나뢋어 생각보다 해가 세지안네,글구먼
2724,Chat10549,저번에 TV에서 봤는걸.,그런 것도 있구나.,핸드폰으로 문자 많이 보내도 생긴다는데.,$Theme까지?
170403,HuLiC3158,엥? 왜? 밖에서는 화장실을 못가?,"글쎄요, 공공장소에서 화장실을 써야 한다는 게 싫은가 봐요.",헐... 나도 어렸을때는 그랬었는데.. 무슨 마음인지 알아!,"저도 예전에는 그랬는데, 나이가 더 드니까 화장실도 상관없어요."
