,dialogue_id,Q-3,Q-2,Q-1,A
237344,HuLiC4702,"아니요, 저는 아직 영화를 하나도 못 봤어요. 한 번에 볼 수 있게 DVD로 나오길 기다리고 있어요.",지금 dvd 출시가 다됬을텐데.. 아니면 나랑 같이 볼래??,저는 당신과 함께 그 영화를 보고 싶습니다. 당신은 다른 취미가 있나요?,오 그래 그럼 우리집으로 올래??
286569,HuLiC5839,브라질 출신의 호나우두를 말하는거야? 은퇴한지 꽤 되었을텐데,"아니요, 저는 맨체스터 유나이티드의 포르투갈 선수 말하는 거예요.",크리스티아누 호날두를 말하는거야? 그 선수는 적어도 한국에서는 인기가 없는 선수야 ㅎㅎ,"아뇨, 두산 블라호비치 얘기한 거예요"
1770678,MDRW2100044228.1,코울슬로는 어케만들어요,양배추 양파 파프리카까지 다지고 저는 햄이랑 캔옥수수도 첨가해요 거기에 코울슬로 드레싱,우와 드레싱은 어디서요?,드레싱 만들어서 썼는데 최근에 보니 마트에서 드레싱 팔더라고요 거기에 레몬즙이랑 머스터드 좀더 넣고 만들어요
162697,HuLiC2980,원래 골디락스는 동화에 나오는 캐릭터의 이름이래.,"와, 흥미롭네요. 몰랐어요. 무슨 이야기인지 궁금해요.","응. 그치? 곰 세마리와 골디락스 라는 동화, 내가 어렸을 땐 곰 세마리와 금발이라는 제목으로 읽었던 것 같아.",당신 말이 맞는 것 같아요. 곰 세 마리라고 들어 본 적이 없어요. 무슨일인데요?
1522419,MDRW2100026421.1,"아! 웃기다 아이유 노래 좋죠. 최근 들을만한 노래가 많이 나와서 좋은 거 같아요. 저는 다비치 노래도 좋아해서, 자주 불러요!",다비치 노래...전 시간이 멈춰있는 사람이라 아직도 8282 제일 좋아해요,저도 다비치 노래는 시간에 관계없이 좋아해요. 다비치 감성이 제게 잘 맞아서...제일 좋아하는 다비치 노래는 편지!,방금 들었는데 너무 좋아요ㅠ 역시 다비치 노래 너무 잘해ㅠㅠ
1240136,MDRW2100006900.1,지금 연애중이신가요?~,아니요 지금은 따로 만나는 사람은 없어요 체리님은요?,"저도 생각이 없어서요 ㅎㅎ 소개팅, 자만추 어떤 만남을 좋아하는 스타일 이신가요?",저는 예전에는 자만추 스타일을 선호했었거드뇨 했었거든요 그런데 요즘은 절 잘 아는 지인이 소개해주는 지인이 잘 아는 주변사람과의 소개팅이 더 끌리네요 체리님은 어떤 스타일이세요?
1052989,MDRW2100001593.1,ㅠ.ㅡ 얼마나 써야 징수안되는걷지..,괴롭다 name1야 치킨사줘,너도 제주오자 어제 갑자기 오기로 함 어때,모냐 왜 나만빼고 가 토욜아침에 갓다 언제온대 아니 왜나만빼고가
157496,HuLiC2860,"문법이랑 글쓰기에 어려움이 있었으면, 그래도 말하기는 잘할 것 같은데",듣던 중 반가운 말이네요. 당신이 어려움을 극복할 수 있었다니 기뻐요.,너는 공부하다가 막히면 어떻게 극복했어?,"저는 사람들 앞에서 말하는 것을 정말 못했는데, 시간이 지나면서 점점 더 잘하게 되었어요."
945143,MDRW2100001530.1,28일부터 시작임 잘봐야디..,엌 ㄱㅊ name2이라면 affiliation생들 사이에서도 선방 ㅆ가능,ㅋㅋ 교수들이 과제 막 퍼준다 거긴 좀 어떰 ? 할만하누 ?,전자회로 ㅈㄴ어렵노
27305,Chat15293,이제 겨울인데 밖에 나가지말구 집에서 TV나봐야겠다.,ㅎㅎ 그러게 시청율이 올라가겠는데.,날씨가 추우면 나가기 싫어지는건 당연한 거지 ㅋㅋ.,그러니까 말야 얼른 방송 시간대 좀 알아놔야겠어.
1542509,MDRW2100027789.1,짜장면 맛있겠어요 ㅠㅠ 탕수육이랑 같이 먹으면 진짜 맛있는데 아쉽네용 넹 저는 삼각김밥이랑 컵쌀국수 먹었어요!,그러게요 ㅠㅠ 탕수육을 요새 못 먹은지 꽤 됐어요 에효... 삼각김밥도 맛있죠! 어떤 맛으로 드셨어요?,저두요... 탕수육 먹고 싶네요 ㅠㅠ 전주비빔으로 먹었어요! 씨유에서 사왔는데 삼각김밥은 지에스나 세븐일레븐이 더 맛있는 것 같아요...,전주비빔밥도 맛있죠! 저는 매운거를 잘 못 먹어서 자주는 안먹지만 삼각김밥도 정말 맛있는 것 같아요! 편의점마다 사먹는 제품이 따로있는 법이죠...
250559,HuLiC5007,저는 그의 음악을 좋아하지 않습니다.,ㅋㅋㅋ너는 무슨 음악을 좋아하니?,나는 록 음악을 좋아해요. 좋아하는 음악 있어요?,나는 발라드가 좋아
58501,﻿Chat6924,,,친한 친구가 있는데 그 친구가 자꾸 날 멀리하려고 해.,왜?
916772,MDRW2100001517.1,목젖이 아파 ㅋㅋㅋ 전화가 불통이라 내 친구 아빠들꺼 따로 톡 받아서 내가 예약해브러 틈틈히 ㅋㅋㅋ,센스쟁이ㅋㅋㅋㅋ,오지라퍼제 전화안울릴땐 민망한께 그런거여,친구들은 고맙지ㅋㅋㅋ
1112204,MDRW2100001624.1,날짜랑 금액이랑,헉 날짜도야?ㅋㅋ,ㅇㅇ 캡쳐해주면 감솨^^ 아님 걍 근액만이러도,근데 오늘 배달 어째 일단 그건 자기가 알아서 ㅋㅋ
1249474,MDRW2100007494.1,?그게 뭐시여 아ㅋㅋㅋㅋ,훈나잇,륜모닝 당모닝,ㅋㅋㅋ
368282,HuLiC7725,아 맞아 여기 박진주도 나오지?,엉 박진주 나와 ㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋ 웃긴역이었어 앞머리가 인상적임,박진주 연기잘하지 근데 박진주는 노래도 엄청잘해
827740,MDRW2100001328.89,나멀미나용 저 영등포 아리수센터,여보 버스에요??,내 멀미가심해서 주거룡,헉..
881687,MDRW2100001496.1,상한 얼마냐?,바로 전고점 회복 187000원,가면 500주 던진다,상한가?
796538,MDRW2100001175.7,ㅋㅋㅋㅋ ㅎㅏ,판 가격보다 내려오면,오늘팔껄,줍줍 내일은 25만원 될건데 오늘 그렇게 후회하면 어케...
1834954,MDRW2100047017.1,봐도 마약인줄,맞아,알잖아,맞앙
1538296,MDRW2100027510.1,네 맞아요 ㅎㅎㅎ 참 예쁜 아이들인데 안타까운 사연이 너무 많아요ㅜㅜ,ㅇㅅㅠ 맞아요 너무 쉽게 사서 그런건지 너무 쉽게 버리는 것 같아요ㅠㅠ,그러니까요ㅜㅜ 사지말고 다들 입양했으면,저는 전에 병아리 길렀었어요
348617,HuLiC7270,저는 10대 때부터 고양이를 키웠습니다. 나는 그녀를 너무 사랑해요. 당신의 개는 어떤 종인가요?,그럼 한 10년은 같이 산건가? 고양이들은 수명이 길지가 않아서..,그 말을 들으니 유감이네요. 10년은 긴 시간이에요. 저는 제 고양이를 5년 정도 키웠습니다.,"5년도 정말 긴 시간이더라고, 길냥이들 수명은 엄청 짧은데..."
1231044,﻿MDRW2100006232.1,,,네.좋아해요,여행지 어디가 좋나요?
11916,Chat12325,정말? 여자들 $Theme 싫어하던데.,특이 체질 인가 봐.,전쟁영화 보면 보통 지루해 하던데.,난 군인들의 의리가 너무 감동이야.
1657577,MDRW2100035892.1,평온이라...... 그냥 바쁘게 후다닥 ㅋㅋㅋㄱ 난 모더나,그렇죠 아침에 병원 할 수 있는 사람이 몇 명이나 되겠어요 저도 요즘은 그냥 주말이 편하네요 아침에 안 서둘러도 되고 나와 이렇게 피곤하죠,병원하다니 ㅋㅋㅋㅋㅋㅋㅋㅋㄱ 아침에 병원ㅋㅋㅋㅋㅋㅋ 확인좀 해줄래?? 말만 하지말고,아 웃긴다
111970,HuLiC181,,반가워. 생필품을 사야되는데 마트에 가는게 나을까 인터넷으로 주문하는게 나을까?,"마트에 가고 싶지만, 쓸 돈이 별로 없어요.",저런 왜 돈이 없는거야?
13317,Chat12582,모두가 인정하는거겠지.,어떤 점을?,모든면에서.,그런 영화가 많은 편인가?
1281585,MDRW2100009674.1,헐 저도 전자요 엇 렉걸리셨근욬ㅋㅋㅋㅋ 그러면 혹시 살면서 다정하다고 느꼈던 행동 있으신가요?,저는 밥 잘 챙겨주고 아플때 걱정해주면 다정하다고 느껴요 님은 언제 다른사람이 다정하다고 여겨요?,저는 뭔가 제가 말한거 기억했다가 추천할 때 다정한거 느끼는 것 같아요!!,저도 그래요 내가 못먹는거 기억할때! 다정하게 느껴져요 그리고 소개팅이나 데이트 할 때 메뉴 내가 싫어하지 않는 것으로 고르게 물어보는거요~
741262,MDRW2100000276.56,송도가서 잘 살듯 ㅎㅎㅎㅎㅎ 일단 나 affiliation에 있을 때 송도로 이사를 했어,와,임신은 뭔가 고민중? 같은 느낌이었는데 자기 허리 아파서 일단 그거 치료부터 해야 한다는 식으로 말했대 영어과 모여있을 때 ㅎㅎ,근데 어려우면 빨리 맘접고 행복한 딩크여도 좋지
1716763,MDRW2100040285.1,저도 산책으로 운동하고 있어요 걷기 좋은 공원이 근처에 있어서 사람들 덜 모인 곳으로 산책 다니죠,저두요ㅎㅎ 집에만 있다보면 허리가 아프더라구요,원래 수영을 오래 했었는데 작년부터 못하고 있어요 name2님은 예전에 했었던 운동 있나요?,딱히 제대로 된 운동을 해 본적이 없어요ㅋㅋㅠ
648422,MDRW2100000022.18,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜웃겨,만원짜리 아닌게 어디냐며 자기위로중ㅋㅋㅋ,효녀야 아주ㅠㅠㅠ,후.... 그니까 ㅋㅋㅋ 근데 어제 오빠랑 놀다가 넘어져서 코 까짐
