,dialogue_id,Q-3,Q-2,Q-1,A
1698287,MDRW2100038949.1,하이네켄 칭따오 깔끔하죠ㅎㅎ 전 거기에 아사히 드라이피니시까지 잘 마셨는데 이젠 여러 이슈로 안팔더라고요ㅎㅎ,마자요 요새 안보여욬ㅋㅋㅋ,알코올 종류중엔 맥주를 가장 좋아하시나요??,네 가장 무난 ㅋㅋ 와인도조아해용 근데접근성이 맥주가 조아서 ㅋㅋ
291817,HuLiC5960,"네, 제 취미입니다. 저는 그것을 많이 즐깁니다. 당신은 어떤 일을 하세요?",나도 보석공예 배워 보고싶다. 악세사리 같은것도 만드는거야? 나 그런거 좋아하는데,"네, 목걸이, 팔찌, 귀걸이, 반지 등을 만듭니다.",오 나도 가르쳐 주면 안돼? 그런건 재료비가 많이 들까?
295077,HuLiC6035,정말 재미있을 것 같네요. 당신은 어떤 종류의 카드를 볼 건가요?,나는 최근에 연애에 대한 고민이랑 취업에 대한 고민이 있어서 같이 보려고 해 ㅎㅎ 타로카드 본 적 있니?,"아니요, 아직 안 했어요. 난 그들에 대해 많이 알지 못해요. 그들은 어떻게 생겼나요?",타로카드는 22장으로 된 서양에서 하는 점성술 같은 거야 각 카드마다 의미가 있어서 내가 뽑은 카드로 점을 보곤 하지
932042,MDRW2100001526.1,ㅇㅇ 구매임 ㅠㅠ 와이파이가 느려서 망,빨라도 라이브가없다,라이브가 그냥 없는거야? 그럼 그냥 패쓰?,없던데 찾아봐야지
933360,MDRW2100001527.1,ㅋㅋㅋㅋㅋㅋㅋㅋ 아녀ㅋㅋㅋㅋㅋ 친절한 name1ㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋ다행쓰,이모님이랑 기사님 조기퇴근하심ㅋㅋㅋㅋ 7시에 가셨댜... 나듀..가고싶은디 넘 눈치보이구ㅋㅋㅋ,헐 그래두 돼?? 진짜 안 팔리나 보다 ㅋㅋㅋㅋㅋㅋ
1133675,MDRW2100001637.1,너 그래서 오캐플 그 속옷? 삿냥 ㅋㅋㅋㅋㅋㅋㅋ 나도 뽐뿌 옴 ㅋ지금ㅋㅋㅋ,야 ㅎ 아니 두 장 살건데 지금 엄마꺼두 하나 사줄가 고민 중이란ㅌㄴㅌ큐,ㅋㅋㅋㅋㅋㅋㅋㅋ오 나도 사주까 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이거 얼마부터 무배냥..,효도. 무배 ㅣㅇ마넌부천가...? 잠마
1582218,MDRW2100030532.1,아니요,그렇군요,님은요?,저도요
1501464,MDRW2100024963.1,오 뭔가 귀엽네요 동화책인가요,삽화있는 수필이더라요,오 뭔가 깜찍하겠네요 저는 요즘 뭔가 철학책 읽어보고 싶다는 생각이 들어 읽는 중인데 위트있게 적어둔 책이라 나름 술술 읽히네요 소크라테스 익스프레스라고 기차여행하면서 철학자들을 생각하는 내용이에요,장바구니에 넣었어요
797894,MDRW2100001195.1,그거 보고 나면 잠잘 시간이네 14회가 마지막이구나 몰아서 봐야겠다. 어떤 내용이야?? 복수극이라는데 잔인해??,나 펜트하우스 1부터 봐서 그냥 죽고 때리고에 익숙하긴 한데 친구가 놀러와서 보더니 너무 잔인하대 ㅋㅋ,아 많이 죽는구나 악마판사 보고 펜하로 넘어가서 몰아봐야겠다,악마판사! 나 그거 안봤는데 재밋다도라
1923269,MDRW2100047076.1,뭐 먹게?,내장탕!!!! 아.. 여기 좀 멀긴한데..살랑살랑 걸어갔다오지 뭐 ㅋ 그리 먼거도 아니긴 한데... 포장해와야하니깐.. 안되면 거기서 먹고 오고 11시쯤 출발해서 먹고와야지.. ㅋㅋ 여기도 사람 엄청 많아서 11시 30분되면 줄서야함...,헐~ 겁나 머네,글케 안 멀엉 10분거리!
