,dialogue_id,Q-3,Q-2,Q-1,A
810418,MDRW2100001275.1,근데 name14한테 답장하나 안하고 계시잖아여 name14 답빠른데,근데 리얼 제얘기 귓등으로도 안봄 저분 ;;,name1의 답하려고 생각하는 시간<name14의 답장속도 ㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1757602,MDRW2100043254.1,다들 그얘기 ㅋㅋㅋㅋ 하더라구요 애기가지고 집에서 매일 했쥬 2층까지도 올라갔는데,저도 이층까지는 갔었어요 근데 너무 길더라고욬ㅋㅋ 그리고 좀 일본풍 나와서 주인공이 더 못생겨보이더라고요,어디까지 갔는지 지난번에 궁금해서 한번 다시 깔아볼까 했는데 나오려나,일본 갑옷같은거 나오는데 좀 깼어요 그래서 그만뒀던가 같아요
1553979,MDRW2100028586.1,다이어트 너무 심하게하니 몸안좋을대로 안좋고 조금만살쪄도 난리나고,맞어 그리고 여돌은 성희롱도ㅜㅜㅜㅜ 진짜심해,아......... ㄹㅇ 지금은 더이상 주목받지못하지만 에이프릴 진솔?,아 알지
375530,HuLiC7892,전도연은 마약 들어있는 거 알았으려나,큰 돈 받고 한거였나 아무튼 ㅜ 나도 옛날에 봐서,아하 ㅜ 이 영화 15세 관람가인가?,웅 맞을걸 왜?
1532645,MDRW2100027109.1,잘했음,티비를 안봐서ㅋ,감동의 도가니,근ㄷㅔ 뉴스는 봤어요
651120,MDRW2100000037.19,그거는 이벤트 당첨이라서 어쩔 수 없다,ㅇㅇ 치킨 드시고 싶다 하셨으니 되었네,다른 걸로 엄마가 뭐 드시고 싶다는 거 있으면 니가 사 드리라고 치킨 빼고,알았다 근데 엄마가 나가실 수가 없으니 뭘 사드려야되는 건지 모르겠네
340046,HuLiC7073,당신이 가장 좋아하는 로맨스 영화는 무엇입니까?,뷰티인사이드를 제일 좋아해ㅋㅋ,그거 못 봤어요. 무슨일인데요?,자고 일어날때마다 모습이 바뀌는 남자주인공의 이야기야.
673546,MDRW2100000093.35,ㅋㅋㅋ 부인이 말리지않을게 ㅋㅋ,ㅋㅋㅋ오키 나 킨텍스 지남,1시 조퇴 냈음 ㅋ,오키 ㅋㅋㅋ
1938756,MDRW2100047094.1,오늘 기프티콘 준거아녀?,앙 ㅋ 오늘이 내 생일이잔아 ㅋ,아ㅇㅋ 머라 답장함? 왜 저한테 알바 짤렸다고 말 안해주셨어여!!!!!!!!!!!! 네?!!!!!!!!!!!!,ㅋㅋㅋㅋㅋ ㅠ 조용해 ㅠ;; ㅋㅋㅋㅋㅋ 걍 아직 답장 안햇어 3ㅇ분 뒤에 하려고 ㅎㅎ 선물 받으면 30분 뒤에 하능게 국룰 아님미가 ㅋ
1944697,MDRW2100047098.1,아 27일날에 구청에서 점검 나와 그거 준비해야해서,8월 27일?,다음에 쓴다고 하더라 어어,아아... 9월에 쓰려나
1824131,MDRW2100046974.1,ㅠ.. 슬프다,다시작이야~~! 케이팝 광인,ㅋㅋㅋ시속 200,날라다닌다 진짜 ㅋㅋㅋㅋ
423873,HuLiC9007,그게 지금 인기가 많아서 2편까지 나왔거든.,영화는 못봤지만 엘사랑 그 눈사람이 나오는 건 알아. 주변에서 하도 얘기를 많이 들어서.,올라프! 그 눈사람 이름 올라프야ㅋㅋ,올라프구나ㅋㅋ 그 눈사람 너무 귀엽더라.
854430,MDRW2100001382.1,여행가고 싶다고?? 인생 드라마 주인공 처럼 살고 싶어하는고만 매일 맛난거먹고 싶고 매년 여행가고 싶고 name1,웅,우리 name1 오늘까지인 스벅이 있는걸로 아는데,받고싶다 그치 펜이말랑거린대
422653,HuLiC8980,맞아ㅋㅋㅋㅋ다른 일본영화도 본적있어?,나는 그 후에 많이 찾아봤는데 음 뭐였더라?,뭐야ㅋㅋㅋㅋ 빨리 기억해내,아 맞아 '목소리의 형태'라는 영화였어!
1029491,MDRW2100001583.1,;;;; 팔만한게 없어~,저번에 의류함에 넣은것만 팔아도 몇천원은 벌었을껄? ㅋㅋ,ㅋㅋㅋㅋㅋ 밥 먹고 올께요 이사가 대표 되는거 맞네 ㅋㅋㅋㅋㅋㅋ 좋다네 ㅋㅋㅋ ㅋㅋㅋ 자기 신비 복숭아라고 알아? 자는겨? 요거 요거 밤에 안자고 또 낮에 자는구만 ; 난 언니들 만나러가 들어갈때 톡할께,일찍 나갔네? 대표없었어? 잼나게놀다와요~^^ 자긴 오늘 어디갈래 못하겠네?? ㅎ
1413959,MDRW2100018977.1,ㅋㅋㅋㅋㅋㅋㅋ근데지도보면 우리나라랑상관없던데 진짜특이하게이름짓는듯,엥 뭐임 그럼ㅋㅋㅋㅋㅋㅌㅋ,ㅌㅋㅋㅋ베트남쪽이야,야 고구마가 먹는게 아니고
